cv_score,project_score,skill_match_score,progress_score,missing_skills_count,certificates_count,courses_completed,target_score
43,46,84,25,6,3,4,39.7
78,71,24,85,2,7,9,62.65
33,79,56,78,0,5,4,64.75
93,92,15,59,4,4,2,52.1
56,30,82,17,2,2,6,46.3
57,86,55,100,1,7,9,77.0
95,10,75,52,4,1,8,49.2
25,73,46,71,3,7,5,51.85
81,93,48,20,2,0,6,55.85
27,57,44,90,4,6,6,48.65
66,84,36,88,5,5,3,55.6
49,93,90,100,1,4,5,83.25
39,76,78,91,6,8,3,61.3
26,15,50,34,6,0,8,19.75
31,27,17,32,3,7,7,26.05
42,13,82,100,1,4,2,57.95
53,73,84,14,6,7,1,47.95
53,49,64,48,5,2,7,44.25
76,47,38,37,3,5,0,42.25
86,89,36,53,5,7,11,59.45
79,82,30,62,1,8,7,65.1
76,42,58,18,1,5,8,52.2
47,42,38,24,0,6,7,44.4
82,49,72,60,5,1,2,51.55
82,54,50,15,3,5,4,46.4
35,84,83,24,3,0,6,53.2
32,56,35,94,6,4,11,43.4
56,62,22,49,3,5,3,41.1
69,95,18,31,3,4,7,48.35
81,87,25,25,6,7,6,44.05
46,49,15,23,4,8,4,28.95
52,75,82,12,3,3,1,51.55
33,54,59,36,0,0,4,47.0
61,27,50,83,1,7,1,54.15
35,18,94,68,6,0,8,42.3
54,46,37,46,4,5,7,40.1
69,48,90,66,3,4,9,66.2
61,51,51,68,4,6,9,53.15
50,66,81,45,1,3,2,60.7
55,79,34,88,2,3,8,59.95
84,88,69,53,6,0,9,59.6
93,16,75,81,6,0,7,49.8
83,90,83,75,2,2,4,77.6
69,39,85,61,5,0,3,50.25
94,46,82,25,0,2,11,67.0
24,75,53,57,6,7,7,44.95
26,13,95,56,4,8,7,48.05
30,34,87,37,3,2,5,44.6
65,71,32,71,4,2,7,49.65
58,52,30,63,1,0,3,45.2
80,17,74,63,2,5,9,58.55
22,25,64,35,3,6,11,39.65
82,73,72,94,5,2,3,65.65
30,93,22,57,1,2,4,48.35
44,95,38,16,1,2,3,47.75
63,51,65,26,3,1,5,45.85
80,95,40,70,1,5,10,72.25
36,92,87,43,4,3,7,60.8
32,45,38,18,2,0,2,28.65
34,82,44,79,0,1,6,60.1
57,64,68,22,6,6,3,43.5
41,43,19,84,0,4,4,46.65
50,71,15,81,5,0,3,37.45
58,86,16,86,2,5,1,54.6
24,11,88,88,6,0,12,42.55
30,90,24,42,4,4,2,38.3
71,38,26,44,4,8,6,39.7
47,85,95,52,4,3,1,62.45
49,64,19,98,5,4,5,44.3
26,34,70,19,3,4,0,34.2
37,71,15,46,3,5,9,39.85
78,66,82,42,1,3,3,66.5
73,67,44,37,4,4,8,49.15
95,72,51,57,4,3,6,59.1
80,37,63,90,6,1,9,52.45
87,86,55,39,6,4,10,56.4
25,20,40,71,4,2,4,29.8
44,65,78,25,1,5,1,55.45
60,83,76,81,0,2,8,77.35
84,82,20,77,1,2,8,61.8
83,67,70,18,5,6,4,52.25
28,88,60,27,0,7,12,62.6
40,84,75,43,3,7,7,61.7
68,86,28,60,6,6,0,45.3
21,37,69,20,6,3,5,28.05
84,49,43,65,5,5,4,48.45
45,82,90,49,0,3,5,71.2
72,75,64,13,3,2,11,54.55
57,90,58,18,4,1,10,50.7
87,42,23,36,3,2,5,38.6
58,44,87,78,1,5,4,67.8
76,17,30,18,1,7,10,40.15
37,59,38,40,3,3,7,39.95
67,49,87,58,3,4,3,60.55
72,32,81,20,1,0,12,54.2
94,75,37,75,2,1,6,62.45
78,59,47,14,6,5,6,39.25
75,65,17,19,2,0,1,35.65
43,56,59,27,0,0,8,49.7
23,67,76,89,5,5,7,56.95
80,81,64,77,5,5,0,62.35
78,35,50,93,3,6,1,55.75
66,40,73,50,4,5,10,54.1
60,87,23,26,4,8,9,46.75
77,88,82,25,3,6,7,67.8
94,30,78,69,3,0,3,57.5
55,17,69,31,2,2,0,38.75
33,24,66,91,6,8,0,42.0
72,62,49,16,2,2,4,46.4
76,85,90,49,1,0,10,75.75
66,49,69,65,1,4,0,59.85
53,33,47,50,5,5,6,37.45
37,56,44,56,5,2,6,37.9
28,95,42,95,5,5,0,52.45
58,85,47,43,2,1,4,53.35
67,44,35,50,5,2,2,35.0
72,29,45,68,1,0,6,49.25
29,72,94,100,1,0,10,74.5
92,84,75,40,2,0,3,66.4
76,72,48,15,5,3,1,41.0
77,17,75,78,1,0,4,57.25
28,33,81,34,0,6,8,53.75
54,45,36,13,5,1,11,29.25
33,89,49,60,3,3,5,52.95
51,81,39,65,1,2,4,56.25
81,57,91,15,6,3,4,50.15
49,25,54,35,2,3,6,39.65
37,69,94,10,1,0,4,54.35
67,78,26,47,0,1,12,56.9
70,80,87,64,4,5,11,72.4
30,49,88,72,1,8,12,68.95
25,75,93,95,5,5,3,63.65
87,39,47,100,1,1,10,64.55
47,84,75,40,0,0,3,62.4
30,67,34,59,4,5,0,38.75
60,31,32,28,4,3,12,33.35
89,48,30,81,3,1,2,49.3
91,25,70,70,2,2,9,60.55
85,23,44,55,6,2,2,34.55
22,86,42,70,3,0,8,49.0
34,40,68,92,5,4,11,51.8
53,93,20,44,1,2,9,52.25
37,74,69,13,4,6,4,46.0
71,15,53,75,6,2,0,35.45
21,21,27,32,6,7,10,19.55
89,53,40,24,0,1,4,50.65
93,62,88,63,4,8,1,70.0
74,94,66,71,5,2,5,63.9
67,25,56,35,1,6,4,47.75
35,64,48,17,0,2,8,46.4
89,31,85,33,6,1,6,46.45
89,85,32,69,0,5,8,70.45
89,74,17,70,1,8,5,61.8
89,44,91,33,6,6,6,55.5
67,83,78,86,6,5,1,64.25
20,55,65,74,5,8,3,47.45
83,27,65,70,3,3,1,52.25
42,60,40,86,6,0,11,43.1
76,70,45,30,2,7,8,56.8
48,86,85,35,5,8,2,58.5
29,39,61,64,4,5,3,42.15
56,20,46,98,0,4,0,52.8
56,44,46,82,4,7,0,48.0
36,91,88,96,1,0,0,73.05
86,17,21,68,4,0,1,31.85
40,68,86,83,2,8,6,71.8
91,26,41,59,4,3,3,42.7
41,64,95,99,5,3,0,62.4
23,17,76,18,1,1,8,37.55
20,47,95,54,5,0,4,44.55
68,38,45,66,2,5,4,50.8
76,60,78,86,5,7,5,66.4
82,37,38,35,6,7,7,38.15
34,89,54,94,1,7,11,72.65
68,61,90,57,5,3,10,62.15
22,43,59,15,4,8,0,32.25
38,10,56,41,1,2,6,37.2
77,82,61,68,2,0,0,62.8
48,71,80,41,5,0,12,53.05
68,94,64,78,3,3,2,67.8
84,31,77,37,1,0,4,54.55
71,86,51,47,6,3,1,48.3
48,46,38,30,2,4,2,37.7
52,48,71,27,1,5,12,56.6
61,68,24,73,3,2,1,45.6
79,27,66,59,6,5,2,44.15
28,53,72,32,5,4,7,41.05
23,61,54,99,0,6,7,64.15
44,18,28,46,6,8,12,28.3
61,18,15,94,2,2,1,37.1
50,85,35,72,5,2,12,51.25
58,66,19,16,3,7,5,37.6
44,82,84,67,2,1,7,67.2
32,43,73,28,3,6,6,44.95
33,54,15,50,1,7,2,38.7
76,42,62,13,4,1,4,39.7
21,72,66,74,3,4,3,54.0
47,38,42,20,3,5,10,37.0
88,10,16,47,3,2,1,28.9
29,76,81,58,5,8,2,55.6
92,71,80,52,4,8,4,68.95
83,66,59,34,2,6,10,62.4
61,10,15,98,5,0,6,29.3
21,31,22,75,3,2,8,31.65
65,21,70,88,2,0,11,57.35
93,71,56,74,3,5,11,69.95
93,58,66,94,5,5,5,65.7
64,35,42,45,0,3,8,49.55
36,23,32,12,2,6,8,28.75
53,72,51,67,4,6,12,58.1
52,86,83,14,0,6,3,65.9
76,21,79,16,0,7,12,58.95
59,43,60,11,2,1,11,44.05
85,33,44,99,1,2,2,58.35
64,70,41,63,4,3,12,53.6
40,44,29,87,3,1,7,41.9
51,95,91,80,3,5,0,73.75
76,81,15,50,4,6,2,45.75
45,10,46,78,2,0,10,40.9
28,74,76,99,3,4,0,62.4
53,24,65,88,5,0,3,42.7
50,56,40,90,0,4,10,62.2
24,37,41,15,0,4,2,33.55
92,32,38,55,1,2,7,51.4
79,72,21,68,6,6,12,49.5
76,45,49,56,2,7,11,58.45
92,47,71,10,6,3,5,43.35
89,21,88,59,2,2,11,63.35
33,74,69,95,0,5,3,70.3
75,24,20,66,1,3,5,42.6
52,80,44,50,5,7,12,52.7
29,46,75,81,0,1,6,59.8
21,32,83,80,6,3,7,44.0
72,55,25,77,4,2,4,44.65
53,19,77,89,3,5,10,57.75
57,13,50,64,6,0,8,31.45
92,24,19,33,4,8,6,36.1
80,66,70,56,6,1,1,51.0
64,30,93,49,3,1,7,54.8
90,38,53,11,4,4,7,42.3
23,86,23,23,4,4,1,31.3
59,39,48,62,1,1,11,52.15
57,94,20,66,4,4,12,53.3
68,69,38,28,3,2,10,46.95
50,34,22,84,2,5,1,41.4
82,24,61,20,6,3,0,32.1
42,34,78,28,5,6,12,44.2
22,35,86,80,5,1,10,48.25
70,39,85,24,6,2,2,41.65
45,10,90,16,6,4,6,32.9
29,23,21,81,3,4,12,35.75
52,29,66,42,6,8,3,38.75
35,82,57,54,0,4,9,63.1
81,59,55,53,6,8,9,53.95
76,69,80,22,5,8,3,56.25
79,32,62,89,2,8,4,63.6
32,86,18,83,5,1,11,43.7
34,44,24,77,2,8,10,46.8
29,81,58,97,2,7,3,64.95
42,71,16,60,1,2,6,45.05
93,85,15,18,0,8,8,58.35
68,76,20,68,5,2,11,46.8
39,20,80,20,4,7,0,36.4
76,15,70,61,2,1,9,52.45
61,32,78,34,5,8,1,44.8
86,95,42,40,1,7,2,65.65
35,67,78,92,2,5,10,69.55
63,56,80,77,6,7,3,58.1
30,22,39,34,6,5,5,21.5
54,88,80,22,3,4,9,61.4
94,69,71,61,6,8,11,66.45
23,30,58,30,0,5,11,45.0
50,59,72,91,5,8,5,60.95
56,47,39,92,5,1,1,41.85
92,90,46,60,2,7,4,69.3
33,89,15,12,0,3,0,38.15
25,21,47,30,2,6,7,33.65
56,79,58,73,1,8,3,68.35
62,80,50,19,1,3,3,52.6
74,10,49,68,6,4,3,35.3
72,91,53,45,5,8,0,55.95
60,84,64,44,6,0,8,50.0
56,56,57,67,1,3,3,57.1
88,12,39,40,0,8,1,47.2
57,58,19,58,0,5,8,51.2
68,38,57,44,4,5,0,43.0
28,22,90,95,1,1,9,59.9
47,49,37,88,6,3,2,38.75
39,15,23,80,3,2,0,28.55
33,77,86,76,2,3,9,68.75
40,88,69,31,4,6,10,56.7
64,68,25,25,6,8,5,36.2
63,31,31,55,2,7,0,41.25
39,77,65,74,4,7,0,56.95
83,65,65,74,6,3,12,60.55
33,93,28,26,6,0,1,28.95
50,32,67,91,2,8,4,59.7
65,14,41,82,4,2,11,42.3
69,31,89,78,4,2,4,57.45
61,69,56,30,4,6,10,52.05
76,38,41,94,6,4,8,48.0
85,21,30,82,0,0,12,53.65
49,52,22,54,3,3,11,40.6
74,60,17,44,1,0,12,47.2
57,28,50,11,6,4,8,27.8
55,44,26,77,0,7,10,55.8
74,82,61,66,5,8,0,60.7
58,22,44,96,3,2,8,47.6
68,76,24,26,3,5,10,46.5
35,86,20,91,2,0,0,47.7
35,72,86,62,3,2,2,58.3
34,81,28,73,4,2,10,46.65
61,42,69,24,1,0,11,51.2
33,34,78,80,5,8,2,49.4
48,77,75,92,6,3,6,60.15
21,78,74,64,3,2,12,58.8
81,28,78,77,2,8,6,66.4
32,87,73,91,5,2,10,62.35
76,15,77,24,5,8,3,42.25
51,56,19,82,4,3,1,39.2
33,28,16,57,5,7,12,28.9
54,50,63,57,4,3,7,49.5
24,41,85,93,2,5,3,59.65
45,89,25,70,6,3,3,41.65
70,73,82,87,5,6,11,72.05
48,44,54,68,4,6,0,45.2
90,19,89,63,0,4,7,68.75
62,87,17,23,1,5,1,45.85
51,37,87,15,6,2,0,35.15
70,92,48,84,2,0,1,63.7
55,50,90,46,4,1,11,56.0
72,36,82,31,5,5,7,49.2
45,23,24,24,0,7,10,37.35
73,21,46,14,6,6,4,28.25
43,85,88,87,6,6,1,63.95
89,79,81,90,0,2,2,82.45
65,93,34,72,4,1,3,53.15
85,78,41,96,4,6,5,65.3
41,72,23,29,2,3,3,37.8
26,62,68,39,2,7,6,52.5
24,84,70,78,2,0,7,60.9
64,47,19,93,0,8,7,58.75
82,50,41,52,5,0,10,44.1
47,94,57,74,0,3,12,73.2
82,66,69,26,3,8,3,59.2
34,37,95,96,3,3,1,59.15
24,39,39,65,3,1,6,35.55
78,51,31,61,3,4,9,50.05
95,64,90,49,3,2,1,66.4
39,60,66,37,1,3,0,49.9
67,62,33,58,6,1,1,36.7
33,49,80,94,3,8,8,64.55
93,38,34,44,0,3,2,50.5
52,10,59,44,0,0,10,44.4
27,60,64,62,2,0,11,52.5
95,33,37,22,0,1,8,47.55
64,81,82,22,4,6,5,59.35
22,18,41,71,5,5,4,28.9
66,56,22,68,0,6,1,52.7
68,80,95,68,5,4,5,68.9
66,21,41,11,3,0,10,30.45
36,41,31,36,1,7,0,37.05
47,28,84,15,4,4,12,43.8
65,64,21,91,3,0,0,46.0
74,13,87,87,5,8,5,57.95
86,39,73,67,1,4,4,64.95
49,78,77,71,4,2,10,63.2
89,85,35,88,2,8,8,72.55
80,38,76,47,4,1,9,53.0
74,78,58,68,4,8,3,63.2
95,26,85,38,0,4,9,66.3
64,60,53,56,4,0,4,46.9
38,17,66,11,5,1,4,24.15
56,80,58,66,4,8,3,59.7
78,30,59,49,4,0,1,41.1
30,19,16,13,5,4,3,10.35
72,72,81,96,3,4,0,71.6
61,40,19,58,1,1,9,42.3
48,24,87,83,0,0,3,59.8
34,28,15,10,0,5,0,24.3
59,57,31,59,3,4,0,42.85
53,56,66,75,5,1,11,53.2
49,72,18,100,6,3,8,44.6
42,69,19,30,1,8,7,44.75
55,30,23,48,2,5,7,37.5
77,27,61,15,2,3,11,46.35
84,80,43,79,2,8,5,69.4
30,64,86,41,1,4,6,59.7
65,71,51,85,2,5,8,66.05
46,44,82,71,6,7,5,52.1
49,14,76,97,5,1,2,44.8
95,93,89,100,3,4,4,86.65
91,29,84,19,1,7,0,57.55
59,79,81,84,4,0,0,62.65
77,33,18,50,2,8,6,43.45
63,48,94,19,5,2,5,48.2
84,11,83,95,4,7,3,60.55
28,30,33,81,1,3,5,41.6
35,64,73,26,1,3,5,52.5
92,65,77,92,3,5,5,75.15
59,82,87,65,1,6,11,79.2
88,15,35,23,2,1,10,37.25
74,47,78,24,3,4,10,55.45
34,62,47,31,4,6,8,41.4
31,44,75,26,0,3,12,53.3
52,48,30,98,1,0,5,51.0
35,21,85,12,3,1,2,34.45
68,90,87,45,4,0,8,65.2
61,53,42,77,0,5,9,61.95
65,81,43,56,3,0,8,53.85
84,58,28,46,3,7,11,52.5
76,17,22,32,3,8,4,33.35
48,16,56,14,6,1,1,19.5
26,66,59,84,1,5,0,57.7
21,76,69,56,0,6,0,59.9
55,85,32,18,4,5,11,44.95
53,91,26,94,5,6,11,57.75
59,23,56,37,1,1,7,43.55
38,35,20,19,0,1,4,28.95
33,93,39,10,5,5,4,37.05
40,52,35,22,0,5,1,40.4
46,55,44,33,4,8,10,44.15
41,51,16,68,2,8,0,40.75
76,33,15,21,6,8,4,25.55
64,94,80,73,4,5,9,73.4
92,15,92,100,2,6,1,70.05
85,61,88,49,3,3,2,64.35
77,65,25,32,3,8,8,48.45
91,57,20,92,2,2,5,55.95
72,12,48,58,3,8,10,47.3
79,17,27,37,6,7,6,29.15
65,61,21,12,5,2,9,30.55
36,95,56,81,4,1,5,57.25
22,95,16,39,3,6,11,43.55
56,32,55,29,2,0,2,37.5
59,70,51,10,5,1,8,38.9
33,71,16,40,1,7,6,43.25
82,81,75,25,5,7,7,60.75
95,29,46,65,6,3,2,41.45
33,24,78,92,1,7,6,60.5
40,38,63,61,5,0,11,41.6
36,81,39,49,6,2,3,37.05
87,58,31,54,4,1,2,43.8
90,40,86,69,1,8,1,72.0
27,28,39,87,2,2,11,43.6
85,31,87,34,3,8,11,62.05
92,92,77,25,3,3,8,68.4
82,89,83,12,6,7,3,58.05
63,10,72,67,3,8,0,49.0
67,15,56,54,3,2,6,41.85
33,53,81,91,2,4,4,62.55
37,86,48,62,6,3,0,43.1
95,64,91,61,6,2,10,66.1
34,30,23,12,5,2,1,13.2
72,48,37,37,2,8,4,48.3
73,12,90,40,1,4,8,57.3
82,53,33,50,4,2,3,42.65
73,13,92,92,0,3,0,66.25
57,62,84,92,6,1,6,59.3
49,63,83,28,0,7,4,63.65
93,15,66,34,4,1,5,42.25
30,52,87,32,6,8,11,48.4
71,58,65,13,5,0,2,39.3
46,93,29,44,2,2,3,48.05
50,28,68,34,0,0,9,48.7
58,43,85,63,6,1,1,46.75
51,26,92,22,6,4,12,42.9
23,30,53,13,1,5,11,37.6
22,15,59,26,5,3,5,23.45
62,92,50,58,4,7,3,59.1
55,78,80,88,6,0,5,59.6
42,38,81,47,6,4,5,42.3
35,69,48,52,5,6,11,46.85
36,90,81,94,1,3,11,78.2
83,63,65,53,0,7,8,72.05
45,58,49,55,0,0,2,50.2
86,69,54,74,2,6,8,69.25
57,69,69,62,4,4,0,54.95
84,62,26,65,4,5,12,53.1
57,51,39,38,2,6,10,48.25
57,15,53,65,3,4,2,40.75
46,77,76,38,4,8,1,55.75
75,44,90,64,6,6,8,59.6
88,66,35,18,5,4,9,43.4
70,75,41,11,5,4,2,38.95
36,61,33,78,5,7,9,45.55
71,33,78,28,3,5,11,53.45
56,90,73,85,2,7,1,73.7
89,57,40,42,4,0,7,45.95
22,83,32,10,2,3,6,37.15
82,65,26,98,3,5,5,59.05
45,13,89,17,6,1,3,29.65
66,24,82,18,0,7,7,56.5
31,72,35,91,3,3,11,53.3
78,42,93,36,3,0,2,54.7
53,86,75,60,4,0,9,61.1
38,16,20,70,1,3,0,31.5
61,63,81,44,2,7,4,63.65
76,41,29,58,3,3,0,40.65
87,12,28,97,6,2,3,36.3
89,35,40,67,4,1,5,45.25
22,12,37,44,4,2,4,20.9
24,13,15,13,5,0,6,5.65
74,57,77,18,5,5,7,50.75
28,36,17,61,2,5,4,32.9
27,47,67,74,6,4,8,44.25
74,12,39,41,6,0,4,24.7
63,61,46,51,2,2,2,49.45
82,42,86,25,6,7,8,52.3
57,31,52,59,0,8,2,53.95
46,71,33,34,6,7,2,35.25
93,22,91,84,5,3,5,60.6
23,87,95,48,4,0,5,56.95
36,25,94,98,3,4,10,61.95
95,65,15,89,0,3,4,61.95
24,52,48,63,0,7,1,50.9
74,19,59,18,1,6,6,46.15
75,79,58,38,0,1,12,66.55
81,55,95,30,1,3,12,70.35
72,65,18,99,2,3,0,53.25
25,89,31,86,1,2,8,56.85
63,37,81,50,4,6,12,56.95
73,85,61,42,2,7,12,69.15
27,22,32,37,6,4,12,22.1
83,83,41,25,3,5,10,56.15
81,24,27,100,3,0,7,46.3
81,44,44,74,0,1,3,57.5
45,63,83,97,3,8,5,70.45
67,49,42,40,4,7,9,46.35
95,94,86,36,2,4,11,79.2
87,50,47,69,2,6,3,59.1
44,38,39,35,1,6,1,39.8
36,16,95,85,4,5,6,53.7
56,80,76,14,6,7,2,48.4
53,49,47,65,1,5,9,55.95
68,10,72,33,6,1,1,30.6
50,74,20,50,1,0,10,47.0
92,77,77,36,5,3,10,62.85
47,74,50,71,0,2,1,59.2
83,59,85,23,3,3,9,60.85
34,51,84,46,4,3,10,51.35
68,69,65,23,5,2,1,44.55
72,57,58,54,4,0,8,50.85
76,39,34,85,6,7,12,48.75
45,24,80,81,6,3,10,47.6
39,76,54,73,2,4,4,57.8
67,25,40,82,4,2,0,39.65
64,58,49,22,4,3,12,44.8
65,22,68,65,1,1,12,56.2
67,39,39,56,6,5,6,38.05
77,86,49,93,2,7,11,76.3
50,42,27,40,0,0,4,38.6
57,70,80,67,6,7,3,58.4
31,11,28,45,4,4,10,24.55
22,49,71,27,0,5,8,51.35
54,19,59,18,2,4,6,38.05
45,47,74,15,4,3,1,38.85
94,16,89,62,6,4,3,51.6
89,26,53,63,4,8,0,49.2
51,39,19,96,5,3,12,40.75
66,20,60,27,0,5,4,47.6
69,86,89,58,1,6,7,79.4
54,22,16,36,4,7,0,23.9
86,84,63,42,4,3,3,59.4
45,82,67,67,3,1,6,59.3
84,90,60,68,0,6,11,81.2
94,50,32,15,3,2,1,38.5
41,52,37,50,0,3,9,49.2
90,61,61,18,5,3,0,45.05
64,85,95,26,2,5,6,69.75
71,59,16,60,4,2,3,38.85
61,14,23,36,6,3,4,19.2
51,80,62,84,5,3,0,55.5
91,61,60,56,3,5,0,59.15
47,75,41,99,6,7,4,52.85
63,11,23,14,2,7,3,27.15
51,39,62,94,2,1,1,53.65
84,66,25,70,1,0,6,55.3
48,24,90,25,1,4,6,51.3
37,11,52,60,5,4,2,29.45
28,64,92,40,0,0,9,61.7
36,23,80,39,2,2,4,43.35
85,37,84,59,1,7,3,67.85
63,71,63,68,1,3,9,67.25
61,64,40,84,1,0,11,60.0
75,42,83,60,5,3,6,55.3
31,67,38,68,2,2,4,46.55
47,71,77,28,6,0,5,43.35
59,66,65,16,5,0,4,40.5
77,21,28,57,5,2,5,32.05
49,82,58,75,0,5,10,71.7
53,37,49,46,2,1,0,39.55
33,74,74,87,2,4,2,63.9
37,78,75,73,0,7,10,74.6
30,73,42,83,6,2,3,41.55
47,53,37,79,6,6,7,42.85
29,46,70,55,3,6,9,51.1
44,70,73,13,5,3,10,45.7
29,91,15,75,6,6,11,43.35
69,76,77,71,6,3,1,58.0
56,48,31,52,2,4,3,42.6
67,59,77,68,3,1,8,62.15
91,62,50,80,3,7,7,66.3
64,86,90,26,2,8,5,70.4
59,37,34,100,1,5,5,55.25
79,40,56,38,2,1,1,46.5
60,94,45,55,3,2,0,54.1
91,94,42,37,0,2,11,68.8
50,40,35,24,2,4,1,34.0
34,47,47,72,4,5,4,43.05
31,67,81,59,1,0,0,56.55
86,59,35,48,1,3,11,57.45
56,28,85,91,5,4,10,57.6
60,82,37,82,6,6,2,50.8
41,32,90,61,5,2,0,44.5
40,27,52,44,4,8,1,36.05
53,31,95,90,1,6,2,68.15
68,30,20,96,2,8,3,49.2
89,69,44,21,1,7,6,58.55
67,84,41,40,2,7,1,55.8
70,46,45,16,2,5,7,44.7
28,17,37,28,4,2,10,23.15
81,25,46,80,3,6,9,54.05
20,89,69,63,1,1,11,63.35
87,30,88,59,4,1,2,54.9
35,77,77,96,5,4,1,59.75
21,80,86,81,6,3,4,55.6
47,81,45,67,1,8,4,62.45
76,11,62,54,1,4,6,51.05
