conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04012dd1-478d-4eec-9951-dd623bfe86ca,climate smart agriculture,released,knowledge,sector-specific,climate smart farming | climate resilient agriculture,"An integrated approach to landscape management that aims at increasing food productivity, enhance crop resilience, ensure food safety and reduce emissions and adapt to climate change.",http://data.europa.eu/esco/isced-f/0811,crop and livestock production
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/052b829c-67c5-466f-9300-0e0b001a68ef,prepare energy performance contracts,released,skill/competence,sector-specific,compose energy performance contracts | energy performance contract composing | composing energy performance contracts | compose EPC | drafting energy performance contracts | energy performance contract drafting | energy performance contracts drafting | draft energy performance contracts | energy performance contracts composing | compose Energy Performance Certificates,Prepare and review contracts that describe the energy performance while making sure they comply with legal requirements.,http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74 | http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,negotiate compromises | technical or academic writing
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05dbdec3-c9d0-4f15-91ad-0700475a0f75,assess environmental influences on bovine feet,released,skill/competence,occupation-specific,assessing environmental influences on bovine feet | assess influence of environment on bovine feet | evaluating influence of environment on bovine feet | assessing influence of environment on bovine feet | environmental influences on bovine feet evaluating | environmental influences on bovine feet assessing | evaluate environmental influences on bovine feet | evaluating environmental influences on bovine feet | evaluate influence of environment on bovine feet,"Assess the environment and how it can influence the health of the bovine foot. Environmental factors include diet, housing, and exposure to the environment.",http://data.europa.eu/esco/skill/062a9fde-cd91-44f9-9a2f-9e2bc3b281fd | http://data.europa.eu/esco/skill/e541c69c-ea80-4b17-87cb-4001d0b9d303,advising on environmental issues | assess environmental impact
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05e5e14f-ffa6-4106-b311-c6335ccc2bd2,solar energy,released,knowledge,cross-sector,solar thermal energy | energy from sunlight | STE | solar technology | renewable solar | solar power | photovoltaic energy | energy from the sun | sun energy,"The energy which originates from light and heat from the sun, and which can be harnessed and used as a renewable source of energy using different technologies, such as photovoltaics (PV) for electricity production and solar thermal energy (STE) for thermal energy generation.",http://data.europa.eu/esco/skill/f8413360-6114-40de-a276-c59b764b9913 | http://data.europa.eu/esco/isced-f/0713,renewable energy | electricity and energy
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/062ec888-7fd2-4b1e-860e-4cdcc9503ab3,manage land resources permits,released,skill/competence,sector-specific,manage permits for land resources | controlling land resources permits | control land resources permits | land resources permit managing | land resources permits controlling | land resources permit controlling | land resources permits managing | controlling permits for land resources | control permits for land resources,Study the potential impact of land resource utilisation on water and aquatic habitats. Make recommendations as to the approval or rejection of permits for those purposes.,http://data.europa.eu/esco/skill/1bc1cf2a-a7f6-4769-a13b-cc26a2214498,"preparing documentation for contracts, applications, or permits"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/065ec709-e0f4-407f-91fe-9feab66942be,design sprinkler systems,released,skill/competence,occupation-specific,water sprinkler systems designing | planning water sprinkler systems | sprinkler systems planning | planning sprinkler systems | plan sprinkler systems | designing water sprinkler systems | designing sprinkler systems | sprinkler systems designing | sprinkler system planning | water sprinkler systems planning | sprinkler system designing | water sprinkler system designing | water sprinkler system planning,"Design sprinkler systems. Take into account issues of water conservation, existing and proposed landscaping features, and time sequencing of existing systems.",http://data.europa.eu/esco/skill/c34b06c4-d164-4e49-a784-89d47de42ec2,"designing industrial materials, systems or products"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/06a4004d-ee47-44ff-ae2f-a038ba0c0256,perform a feasibility study on mini wind power,released,skill/competence,sector-specific,do a feasibility study on mini wind power | carry out feasibility study on mini wind power,"Perform the evaluation and assessment of the potential of mini wind power systems. Realise a standardised study to estimate the needed electrical power demand of the building, the part of mini wind power on total supply, and conduct research to support the process of decision making.",http://data.europa.eu/esco/skill/d74df140-eb69-43e2-bac9-1cafc824d702 | http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06,execute feasibility study | analysing business operations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/072f35a1-98e7-4a6c-9a19-474ace5644da,cultivate crops for biomass,released,skill/competence,sector-specific,cultivating crops for biomass | crops growing for bio-mass | grow crops for biomass | crops cultivating for biomass | crop cultivating for biomass | crops growing for biomass | crop cultivating for bio-mass | crop growing for biomass | crop growing for bio-mass | growing crops for bio-mass | cultivating crops for bio-mass | crops cultivating for bio-mass | cultivate crops for bio-mass | grow crops for bio-mass | growing crops for biomass,"Carry out the cultivation of crops for bio-mass, process of crops for bio-mass.",http://data.europa.eu/esco/skill/b7c82b1b-cff9-4641-a62f-e4e28395eade,cultivating land and crops
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07c29939-d5fe-4f7f-8546-f1d02fd352db,inspect silo systems,released,skill/competence,sector-specific,check silo systems | scrutinise silo systems | detect silo systems | inspecting silo systems | inspect a silo system | audit silo systems,Inspect silo systems to minimise any harmful emissions during their use.,http://data.europa.eu/esco/skill/8064ae65-5d1b-44e1-9aaf-246a4285a9a6,complying with environmental protection laws and standards
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07ec6866-d283-46a6-991c-e8ce0c6fc159,interpret scientific data to assess water quality,released,skill/competence,cross-sector,analyse scientific data to assess water quality | interpreting water quality data | scientific data analysing to assess water quality | analysing water quality data | assessing water quality data | scientific data interpreting to assess water quality | assess water quality data | interpret water quality data | analyse water quality data | analysing scientific data to assess water quality,Analyse and interpret data like biological properties to know the quality of water.,http://data.europa.eu/esco/skill/1aae38c8-f75a-4009-8aa0-c5fa94b06e6b | http://data.europa.eu/esco/skill/1d6c7de4-350e-4868-a47b-333b4b0d9650 | http://data.europa.eu/esco/skill/36ff57b0-637d-4a83-a0e8-d14f86f9f078 | http://data.europa.eu/esco/skill/ba1f6201-b206-4459-b178-706db34a851d,"manage water quality testing | evaluate data, information and digital content | analyse scientific data | analysing scientific and medical data"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/081d7679-5070-4777-bece-a28c49f15636,environmental policy,released,knowledge,cross-sector,national environmental protection policy | international environmental protection policy | national environmental policy | local environmental policy | international environmental policy | local environmental protection policy | environmental sustainability policy,"Local, national and international policies dealing with the promotion of environmental sustainability and the development of projects which reduce negative environmental impact and improve the state of the environment.",http://data.europa.eu/esco/isced-f/0521,environmental sciences
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/085c8851-2354-44ae-98de-367bdde8bf58,communicate with waste treatment facilities,released,skill/competence,occupation-specific,coordinating activities of waste treatment | waste treatment activities coordinating | communicate with treatment facilities for waste | coordinate waste treatment activities | communicating with waste treatment facilities | coordinate activities of waste treatment | communicating with treatment facilities for waste | waste treatment facilities communicating,Communicate with facilities dealing with the treatment of hazardous or non-hazardous waste in order to ensure efficient cooperation in the organisation of waste treatment procedures.,http://data.europa.eu/esco/skill/47f14289-3bcd-4575-9cc1-15c582d1da29 | http://data.europa.eu/esco/skill/a19c5139-1250-4a60-9c31-a3243cca06cc,manage waste treatment facility | communicating with colleagues and clients
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/089ee650-297e-4716-87d1-440743b70a0d,ensure compliance with environmental legislation,released,skill/competence,cross-sector,ensure compliance with environmental regulations | ensuring environmental legislation compliance | ensure environmental legislation compliance | ensuring compliance with environmental legislation | check compliance with environmental laws | ensuring of compliance with environmental legislation | lead implementation of environmental legislation | lead implementation of environmental policies and legislation | checking compliance with environmental laws,"Monitor activities and perform tasks ensuring compliance with standards involving environmental protection and sustainability, and amend activities in the case of changes in environmental legislation. Ensure that the processes are compliant with environment regulations and best practices.",http://data.europa.eu/esco/skill/1dae8445-12e5-423a-bb26-824010e299b9 | http://data.europa.eu/esco/skill/8064ae65-5d1b-44e1-9aaf-246a4285a9a6,ensure compliance with legal requirements | complying with environmental protection laws and standards
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08a5f6dd-d3dd-4371-9919-6d730f34499c,mount photovoltaic panels,released,skill/competence,occupation-specific,mount PV panels | mounting photovoltaic panels | PV panel installation | installation of PV panels | photovoltaic panel installation | installation of photovoltaic panels | mounting of photovoltaic panels | installing photovoltaic panels | install PV panels | PV panel mounting | photovoltaic panel mounting | mounting of PV panels,Securely install photovoltaic panels using a specified mounting system and on the defined position and inclination.,http://data.europa.eu/esco/skill/30b280e7-2468-440b-a78f-f1e7f515d60a,"positioning materials, tools or equipment"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/09473fea-69ea-40dc-9ff4-bbaaff10840e,conduct engineering site audits,released,skill/competence,cross-sector,performing engineering site audits | engineering site audits conducting | engineering site audit conducting | engineering site audits performing | engineering site audit performing | conducting engineering site audits,"Collect structural, electrical and related site information by conducting engineering site audits. They are used for the design of engineering solution such as solar power systems.",http://data.europa.eu/esco/skill/7dd94ad3-13d6-43fe-8b94-51fcbf67ced9 | http://data.europa.eu/esco/skill/15fa3879-ac0e-46e6-ae36-609bae9c19c3 | http://data.europa.eu/esco/skill/9af1bd12-01bd-4d6a-947b-69e64f23150a,think critically | monitoring operational activities | process qualitative information
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/09c28e46-712a-4c11-a4ae-67ae554ea940,advise on chemical use reduction,released,skill/competence,cross-sector,counsel on chemical use reduction,"Provide advice to reduce the use of chemicals such as pesticides, the emissions of various chemical substances to limit their impact on the environment, as well as shorten their risk for people. Keep up to date with regulations and policies in the field.",http://data.europa.eu/esco/skill/062a9fde-cd91-44f9-9a2f-9e2bc3b281fd,advising on environmental issues
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0aabb61b-5382-490a-bf44-375858f9cd3e,types of tidal stream generators,released,knowledge,sector-specific,TEC | types of tidal energy converter | types of tidal turbines | tidal stream generators | tide mill,"Different types of generators such as crossflow turbines, flow augmented turbines, venturi effect devices, or tidal kite turbines. They are used to draw energy from water currents, either in rivers, or estuaries profiting the tidal range, as well as in the offshore underwater currents.",http://data.europa.eu/esco/isced-f/0713,electricity and energy
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0ad6d5e8-593f-4191-843c-439b23a468ca,conduct energy audit,released,skill/competence,sector-specific,energy audit conducting | energy consumption analysing | analysing energy consumption | conducting energy audit | conducting audit of energy | analyse energy consumption | conduct audit of energy,Analyse and evaluate the energy consumption in a systematic manner in order to improve the energy performance.,http://data.europa.eu/esco/skill/7dd94ad3-13d6-43fe-8b94-51fcbf67ced9 | http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06,think critically | analysing business operations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0b3ae8c1-771e-4483-b3da-fd420fe6545b,strive to conserve the composition of water,released,skill/competence,occupation-specific,strive to maintain the composition of water | strive to conserve water composition | strive to safeguard the composition of water | strive to protect the composition of water | strive to preserve the composition of water,Strive not to unnecessarily alter the composition of the water when removing undesirable constituents.,http://data.europa.eu/esco/skill/d3b2c894-33fb-47c4-aff0-27935a082bf6,"operating petroleum, chemical or water processing systems or equipment"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0b4f100c-813d-4eec-8aa5-4227bb98c635,ship related legislative requirements,released,knowledge,sector-specific,coverage of ship related legislative requirements | range of iOM conventions | scope of ship related legislative requirements | impact of ship related legislative requirements | scope of IMO conventions | impact of IMO conventions | coverage of IMO conventions | range of ship related legislative requirements,"Conventions of the International Maritime Organization (IMO) concerning safety of life at sea, security and protection of the marine environment.",http://data.europa.eu/esco/skill/243ffeb4-3395-4e39-9cf0-695be5b142aa | http://data.europa.eu/esco/isced-f/0421,maritime law | law
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0bca9840-478a-40fd-a6c3-c8cc923add98,develop management plans,released,skill/competence,sector-specific,developing management plans | prepare management plans | management plan preparing | management plans preparing | management plan developing | preparing management plans | management plans developing,"Develop management plans to maintain fisheries and habitat, or restore them when necessary.",http://data.europa.eu/esco/skill/37272760-957a-4c34-b4f3-780ee285334d,"developing financial, business or marketing plans"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0cf3117a-c627-48e0-8d55-65b0f4557ae5,apply sustainable tillage techniques,released,skill/competence,sector-specific,implement sustainable tillage,Apply sustainable tillage techniques such as conservation tillage or no till farming in order to minimise the impact on soil.,http://data.europa.eu/esco/skill/b7c82b1b-cff9-4641-a62f-e4e28395eade,cultivating land and crops
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0d0fe364-462d-48dd-b54b-e972e2bdecb1,types of insulation material,released,knowledge,cross-sector,insulation materials characteristics | typology of insulating materials | sorts of insulation materials | typology of insulation materials | insulation material types | characteristics of insulation materials | insulating materials types | kinds of insulation materials | types of insulating material,"Various types of insulation material and their usage cases, advantages, risks and costs.",http://data.europa.eu/esco/isced-f/0732,building and civil engineering
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0d75a128-bd88-4c1b-b70d-8e963aeb490c,adopt ways to reduce pollution,released,skill/competence,transversal,reduce noise | prefer public to private transport | use public transportation | handle your own waste | prevent pollution,"Apply measures to reduce air, noise, light, water or environmental pollution, for example by using public transports, not leaving any waste in the natural environment, and reducing unnecessary light and noise emissions, particularly during the night.",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,applying environmental skills and competences
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e0b8991-4b24-4bb8-9113-df3ce43c1ff9,advise on mining environmental issues,released,skill/competence,sector-specific,advice giving on mining environmental issues | giving advice on mining environmental issues | giving of advice on mining environmental issues | give advice on mining environmental issues | give advice about mining environmental issues | advising on mining environmental issues | advising with regard to mining environmental issues | advising about mining environmental issues,"Advise engineers, surveyors, geotechnical staff and metallurgists on environmental protection and land rehabilitation related to mining activities.",http://data.europa.eu/esco/skill/045f71e6-0699-4169-8a54-9c6b96f3174d | http://data.europa.eu/esco/skill/062a9fde-cd91-44f9-9a2f-9e2bc3b281fd | http://data.europa.eu/esco/skill/8df86db8-dfcd-414b-854f-ad1cdb18d733,advise others | advising on environmental issues | communicate on the environmental impact of mining
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e628dde-8d1b-4a1d-b973-a349fe1725c8,conduct sediment control,released,skill/competence,sector-specific,conducting sediment control | conducting of sediment control | sediment and erosion control conduct | sediment control conduct | conduct sediment and erosion control | conducting of sediment and erosion control | conduct of sediment control | conducting sediment and erosion control,Manage sediment control processes and projects. Plan sediment control actions to prevent eroded soil from polluting nearby waterways.,http://data.europa.eu/esco/skill/0779d482-4154-4fbb-9a22-d9fd89c39d67,"organising, planning and scheduling work and activities"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e78d9c9-7c3c-4c5c-82cb-205c16edbcb8,green computing,released,knowledge,occupation-specific,sustainable computing,"The use of ICT systems in an environmentally responsible and sustainable manner, such as the implementation of energy-efficient servers and central processing units (CPUs), reduction of resources and correct disposal of e-waste.",http://data.europa.eu/esco/isced-f/0712,environmental protection technology
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e81fcff-2fb5-4c87-afc2-49b5e5d9db50,operate biogas plant,released,skill/competence,occupation-specific,anaerobic digester operating | operating biogas plant | biogas plants operating | operating anaerobic digester | biogas plant operating | anaerobic digesters operating,"Operate equipment which treats energy crops and waste from farms, called anaerobic digesters. Ensure the equipment functions correctly in the transformation of biomass to biogas which is used for the generation of heat and electricity.",http://data.europa.eu/esco/skill/d3b2c894-33fb-47c4-aff0-27935a082bf6,"operating petroleum, chemical or water processing systems or equipment"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0f4cc60e-820e-439d-8810-31a2cc27ada6,use water disinfection equipment,released,skill/competence,sector-specific,operate water disinfection equipment | water disinfection equipment operating | using water disinfection equipment | water disinfection equipment using | operating water disinfection equipment,"Operate equipment for water disinfection, using different methods and techniques, such as mechanical filtration, depending on needs.",http://data.europa.eu/esco/skill/d3b2c894-33fb-47c4-aff0-27935a082bf6,"operating petroleum, chemical or water processing systems or equipment"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/101d63ee-bb22-4a7c-9e0a-c2716063696a,"make health, safety and environment assessments",released,skill/competence,cross-sector,"produce health, safety and environment assessments | assemble health, safety and environment assessments | create health, safety and environment assessments","Execute health, safety and environmental assessments to ensure proper working environment and conditions.",http://data.europa.eu/esco/skill/0e0a44a8-654c-4e85-986a-fb4386114838 | http://data.europa.eu/esco/skill/d2d9051a-10e1-41c5-9cfb-bbdc58016176 | http://data.europa.eu/esco/skill/60ccdd6a-c100-43cf-9797-543a5c42b922,monitoring safety or security | follow safety precautions in work practices | ensure health and safety in manufacturing
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/101e6f4c-c892-4812-9e2c-f2b888771bb3,test wind turbine blades,released,skill/competence,sector-specific,wind turbine blades evaluating | testing wind turbine blades | evaluate wind turbine blades | wind turbine blades testing | evaluating wind turbine blades,"Test new designs of wind turbine blades which are meant for usage on wind farms, ensuring that the blades are functional and safe for usage on the target wind farm.",http://data.europa.eu/esco/skill/6d0cad66-82dd-4854-a03a-68232942c68d,installing wooden and metal components
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/103f7814-d262-4df6-a1b6-759bc51f76cb,sustainable technologies,released,knowledge,cross-sector,alternative energy | clean energy | green technologies,"Technologies with the aim of reducing environmental and ecological risks, achieving at the same time, a positive economic, social, and environmental impact. They are innovative technologies designed to prevent, reduce and recover from the negative impact of humanity in the planet.",http://data.europa.eu/esco/isced-f/0712,environmental protection technology
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1063b061-329e-4212-8db4-ab936dc60efc,environmental economics,released,knowledge,sector-specific,principles of environmental economics,The subfield of economics that studies the efficient allocation of environmental resources to the aim of minimizing the negative impacts on the natural environment.,http://data.europa.eu/esco/isced-f/0311,economics
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/108320f7-c8a1-4386-aed9-91054ab05619,develop agricultural policies,released,skill/competence,cross-sector,operate agricultural policies | implement agricultural policies | produce farming policies | implement farming policies | operate farming policies | establish agricultural policies | produce agricultural policies | establish farming policies,"Develop programmes for development of new technologies and methodologies in agriculture, as well as the development and implementation of improved sustainability and environmental awareness in agriculture.",http://data.europa.eu/esco/skill/8ed41305-4abf-4b54-9f8f-0e043d26feba,developing policies and legislation
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/10ff3d22-1f29-48bc-98e4-63fc61c78034,social alliances,released,knowledge,sector-specific,social partnerships | social collaborative networks,"The creation of partnerships between different actors (businesses, non-profit organisations or public sector organisations) through which they share resources and knowledge for a common cause: typically to solve a social or environmental challenge.",http://data.europa.eu/esco/isced-f/0314,sociology and cultural studies
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/110d7aa3-e44e-4cce-a927-8d4de615f3d9,sort waste,released,skill/competence,cross-sector,sort refuse | sort rubbish | organise waste | arrange waste | conduct activities to separate waste | separate waste into different categories | categorise waste | organise refuse | perform waste separation activities | sort garbage | perform activities to separate waste | group waste according to characteristics,Manually or automatically sort waste by separating it into its different elements.,http://data.europa.eu/esco/skill/485b2e3b-f883-46d8-901f-ab521d4f8e58,sorting materials or products
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/111b9dad-b2e0-4b55-8d0f-2e41cb435f64,ensure no harmful effects on feed additives,released,skill/competence,occupation-specific,assure no harmful effects on feed additives | ensure no harmful effects on additives to feed | secure no harmful effects on feed additives | establish no harmful effects on feed additives | maintain no harmful effects on feed additives | ensure no harmful effects on an additives in a feed | ensure no harmful effects on a feed additive,Ensure that feed additives undergo scientific evaluation to assess if the additive has any harmful effects on human or animal health or on the environment.,http://data.europa.eu/esco/skill/5bcec244-3efe-45ac-8891-0ab4a91e9c48,complying with health and safety procedures
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/114a79ef-1e62-475b-a862-954f5b4cca20,develop waste management processes,released,skill/competence,sector-specific,devising waste management processes | waste management process developing | waste management process devising | devise waste management processes | waste management processes devising | developing waste management processes | waste management processes developing,"Develop equipment, methods, and procedures which can be applied in various types of waste treatment and disposal facilities in order to improve efficiency of waste management processes, reduce environmental impact, and ensure the safety of staff operational in waste management. Trainings for waste incinerators are excluded.",http://data.europa.eu/esco/skill/c23e0a2f-f04b-45bc-b0dd-20571f6b502c | http://data.europa.eu/esco/skill/73a9561d-112c-4d8a-9d5f-b2c11c5bbd5f,developing operational policies and procedures | manage waste
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/128f318e-1bc8-4921-821f-b0aad1d98922,determine appropriate heating and cooling system,released,skill/competence,sector-specific,determine hvac system fitting nzeb demands | determine appropriate heating and cooling system fitting nzeb demands | determine systems that fit nzeb demands,"Determine the appropriate system in relation to available energy sources (soil, gas, electricity, district etc) and that fit the NZEB demands.",http://data.europa.eu/esco/skill/6ee936b0-4e0c-4e04-97c7-1f4ee9230d67,developing objectives and strategies
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/12d7ea6f-ec1f-4f9a-a50b-8e2e9693f068,hazardous materials transportation,released,knowledge,sector-specific,ADR | transporting hazardous materials | hazardous materials transport | carriage of dangerous goods | transportation of hazardous materials | ADR transport | ADR regulations | carriage of dangerous goods regulations | transport of hazardous materials,"Regulations and safety procedures which are involved in the transportation of hazardous materials and products, such as hazardous waste, chemicals, explosives, and flammable materials.",http://data.europa.eu/esco/isced-f/1041,transport services
