conceptType,conceptUri,code,preferredLabel,greenShare
Occupation,http://data.europa.eu/esco/occupation/a8d05b64-f60b-4dd9-91c2-e2e63d82f2f5,1112.2,consul,0.0
Occupation,http://data.europa.eu/esco/occupation/190ec9a5-938c-45a5-bd9c-c12b1af33353,1112.3.1,ambassador,0.0
Occupation,http://data.europa.eu/esco/occupation/a2494c65-11a8-4853-9371-c89333c33be1,1112.3.2,embassy counsellor,0.0
Occupation,http://data.europa.eu/esco/occupation/1fb92021-9576-4c85-8759-f6918e9f0ad4,1112.3,diplomat,0.0
Occupation,http://data.europa.eu/esco/occupation/f2413988-f76a-4636-a4b1-9952517aa21f,1112.4,fire commissioner,0.0714285714285714
Occupation,http://data.europa.eu/esco/occupation/2ae275fe-4f11-4a38-9e95-d466d74b42a3,1112.5,police commissioner,0.0
Occupation,http://data.europa.eu/esco/occupation/0752ed49-03e7-4d75-8314-a051b3771a1d,1112.6,public administration manager,0.0
Occupation,http://data.europa.eu/esco/occupation/5c5b153e-4bf8-4f3d-973d-12fabf306d12,1112.7,secretary general,0.0
ISCO level 4,http://data.europa.eu/esco/isco/C1112,1112,Senior government officials,0.007936507936507933
Occupation,http://data.europa.eu/esco/occupation/e9cf8b24-6b8b-47cc-9dd3-b601aa135960,1114.1,special-interest groups' official,0.0
ISCO level 4,http://data.europa.eu/esco/isco/C1114,1114,Senior officials of special-interest organisations,0.0
ISCO level 3,http://data.europa.eu/esco/isco/C112,112,Managing directors and chief executives,0.0500265816055289
Occupation,http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,1120.1,animal facility manager,0.05
Occupation,http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,1120.3.1,airport chief executive,0.0789473684210526
Occupation,http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,1120.3,chief executive officer,0.0151515151515151
Occupation,http://data.europa.eu/esco/occupation/c64a6e4e-5b38-4f93-b26d-aded817aeaf3,1120.4,chief operating officer,0.0227272727272727
Occupation,http://data.europa.eu/esco/occupation/070e94a8-a933-4557-9b95-fefe7f4f1763,1120.5,public employment service manager,0.0
Occupation,http://data.europa.eu/esco/occupation/73b10c97-b003-45dc-a36d-c1d585c04be1,1120.6,social entrepreneur,0.133333333333333
ISCO level 4,http://data.europa.eu/esco/isco/C1120,1120,Managing directors and chief executives,0.0500265816055289
ISCO level 3,http://data.europa.eu/esco/isco/C121,121,Business services and administration managers,0.0823875829937813
Occupation,http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b,1211.1.1,accounting manager,0.032258064516129
Occupation,http://data.europa.eu/esco/occupation/b680251e-b3c7-4029-9849-66a95081801c,1211.1.2,bank treasurer,0.0217391304347826
Occupation,http://data.europa.eu/esco/occupation/44e0c015-309d-4f67-98a3-1e036966ed7f,1211.1.3,budget manager,0.0227272727272727
Occupation,http://data.europa.eu/esco/occupation/3e1a2f3c-20d6-4d33-aa6f-63cd2a32698d,1211.1.4,corporate treasurer,0.0
Occupation,http://data.europa.eu/esco/occupation/30f3ea93-882a-4525-841c-1d5b4b64076f,1211.1,financial manager,0.0121580547112462
ISCO level 4,http://data.europa.eu/esco/isco/C1211,1211,Finance managers,0.0177765044778861
Occupation,http://data.europa.eu/esco/occupation/96e88e86-f2c7-42e6-a2b2-17e4f08d4ee0,1212.1,employee volunteering programme coordinator,0.0833333333333333
Occupation,http://data.europa.eu/esco/occupation/949ab84f-5d76-4139-a568-45691b7ebc53,1212.2.1,equality and inclusion manager,0.0178571428571428
Occupation,http://data.europa.eu/esco/occupation/f605bcd2-90b6-45a0-a558-d05016d68a77,1212.2,human resources manager,0.00699300699300699
Occupation,http://data.europa.eu/esco/occupation/3d999108-f37a-4087-a936-b2911240b8c2,1212.3,volunteer manager,0.0454545454545454
Occupation,http://data.europa.eu/esco/occupation/a14e96a7-6c4d-4d69-8c6f-7ccadf77bac5,1212.4,corporate training manager,0.074074074074074
Occupation,http://data.europa.eu/esco/occupation/a6e8a6bf-9209-4d19-a131-a8b6431e0f75,1212.5,talent acquisition manager,0.0
ISCO level 4,http://data.europa.eu/esco/isco/C1212,1212,Human resource managers,0.03795201711868375
Occupation,http://data.europa.eu/esco/occupation/d00b4607-c4fe-4f3e-8974-29401e23223c,1213.2.1,social security administrator,0.0
Occupation,http://data.europa.eu/esco/occupation/4f49df98-98b8-4a9e-98ad-9c5557817eba,1213.2.2,strategic planning manager,0.0555555555555555
Occupation,http://data.europa.eu/esco/occupation/e246eca2-2cec-45b4-ae76-aa1f37d07bc5,1213.2.3,tourism policy director,0.133333333333333
Occupation,http://data.europa.eu/esco/occupation/64e38ce7-3901-4261-bfee-77c7a77397f2,1213.2,policy manager,0.177914110429447
Occupation,http://data.europa.eu/esco/occupation/91f93dc4-1b71-4053-b6fb-c579ec19303a,1213.3,procurement department manager,0.0204081632653061
Occupation,http://data.europa.eu/esco/occupation/c94f3565-d987-431f-a46b-6f4e018e0bd7,1213.4,programme manager,0.0222222222222222
Occupation,http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,1213.5.1,branch manager,0.0136986301369863
Occupation,http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7,1213.5,business manager,0.0117647058823529
Occupation,http://data.europa.eu/esco/occupation/1c85eee2-a8ca-4750-a889-10a3e6c17b80,1213.6,EU funds manager,0.0181818181818181
Occupation,http://data.europa.eu/esco/occupation/57e87533-e523-4ee5-bf21-94a39fcc279b,1213.7,health safety and environmental manager,0.253731343283582
Occupation,http://data.europa.eu/esco/occupation/2cf2b905-3308-4b5d-8e8d-633fc7a3f3ce,1213.8,sustainability manager,0.75
Occupation,http://data.europa.eu/esco/occupation/7a3996d8-b90d-4b81-bd5e-e37f005b2683,1213.9.1,director of compliance and information security in gambling,0.0
Occupation,http://data.europa.eu/esco/occupation/b1ed68f8-8d51-4bcc-8825-bd554859480f,1213.9,director of compliance and information security,0.0
ISCO level 4,http://data.europa.eu/esco/isco/C1213,1213,Policy and planning managers,0.1120622986377387
Occupation,http://data.europa.eu/esco/occupation/b42c5ed4-c6e4-4694-934f-96127719cc43,1219.1.1,facilities manager,0.160714285714285
Occupation,http://data.europa.eu/esco/occupation/e9507d34-c70f-474f-a4a3-d2cbfe50f6e9,1219.1.2,security manager,0.0227272727272727
Occupation,http://data.europa.eu/esco/occupation/3c136897-4e0e-41ef-bb57-d8152323b93a,1219.1,business service manager,0.0
Occupation,http://data.europa.eu/esco/occupation/1313aeea-63a9-4b4d-82d1-dbe00ff9ed10,1219.2,corporate social responsibility manager,0.326530612244897
Occupation,http://data.europa.eu/esco/occupation/8b26eec6-7497-4218-8364-9b5983b04ae7,1219.3,defence administration officer,0.0416666666666666
Occupation,http://data.europa.eu/esco/occupation/94e0bedd-e56e-42be-a5a4-b74a260f437c,1219.4,department manager,0.0125
Occupation,http://data.europa.eu/esco/occupation/81cc1583-3614-4207-8e54-00b8cd4ddf09,1219.5.1,chemical plant manager,0.0566037735849056
Occupation,http://data.europa.eu/esco/occupation/0552ff45-b282-455c-b431-fb05a0e00801,1219.5.2,foundry manager,0.037037037037037
Occupation,http://data.europa.eu/esco/occupation/cb446db8-e8b3-418c-a21c-2d10faea42a5,1219.5.3,power plant manager,0.18
Occupation,http://data.europa.eu/esco/occupation/546ec458-e2a4-4cb1-ac17-553d314ac2e2,1219.5.4,water treatment plant manager,0.295454545454545
Occupation,http://data.europa.eu/esco/occupation/b633af32-c8c0-4481-9971-7932ea4b16b5,1219.5.5,wood factory manager,0.0192307692307692
Occupation,http://data.europa.eu/esco/occupation/680831bb-64fc-4fc8-ae58-c450327d9700,1219.5,manufacturing facility manager,0.157894736842105
Occupation,http://data.europa.eu/esco/occupation/bea99fea-0383-4c63-b944-70d4799de2c5,1219.6,project manager,0.0147058823529411
Occupation,http://data.europa.eu/esco/occupation/109e0a5d-203d-4af6-8f70-692111335ec3,1219.7,quality services manager,0.032258064516129
ISCO level 4,http://data.europa.eu/esco/isco/C1219,1219,Business services and administration managers not elsewhere classified,0.09695168902653951
ISCO level 3,http://data.europa.eu/esco/isco/C122,122,"Sales, marketing and development managers",0.0296640356338618
Occupation,http://data.europa.eu/esco/occupation/04b52c04-0620-4558-8f89-e252de2963ff,1221.1,auction house manager,0.03125
Occupation,http://data.europa.eu/esco/occupation/c530b0ee-46f8-40fb-818c-d9b44b891cb9,1221.2,banking products manager,0.0222222222222222
Occupation,http://data.europa.eu/esco/occupation/425ed170-bf90-42c9-b5bd-148282ed96ff,1221.3.1,destination manager,0.157894736842105
Occupation,http://data.europa.eu/esco/occupation/dab60fc6-c16e-4de7-b969-b323784f5a49,1221.3.2.1.1,category manager,0.0172413793103448
Occupation,http://data.europa.eu/esco/occupation/7a031723-2b2c-4fdd-8ed5-30d67088b8b8,1221.3.2.1.2,licensing manager,0.0
Occupation,http://data.europa.eu/esco/occupation/1663e9d9-857b-4efa-9ab6-886c7fc763f6,1221.3.2.1.3,motor vehicle aftersales manager,0.0
Occupation,http://data.europa.eu/esco/occupation/1dd7c3cb-2d58-4dad-ae15-c9081174ab7e,1221.3.2.1.4,online sales channel manager,0.0
Occupation,http://data.europa.eu/esco/occupation/a2ade835-81c2-452e-a4d8-a90348bbe378,1221.3.2.1.5,aftersales service manager,0.0
Occupation,http://data.europa.eu/esco/occupation/a7594892-ff23-4e2a-aedf-2f967ebca15c,1221.3.2.1,sales manager,0.032258064516129
Occupation,http://data.europa.eu/esco/occupation/6fcf4638-e7c7-4978-9302-9a7b63a3d57c,1221.3.2,marketing manager,0.0118343195266272
Occupation,http://data.europa.eu/esco/occupation/d954fd71-0e2f-4cf9-85f0-c040fa6cbda9,1221.3.3,promotion manager,0.0185185185185185
Occupation,http://data.europa.eu/esco/occupation/0ddbf393-38f1-4c22-b14c-fe775008f321,1221.3,chief marketing officer,0.0158730158730158
Occupation,http://data.europa.eu/esco/occupation/2d3d7188-47ab-49b9-9045-e452d9db06f1,1221.4,commercial director,0.0
Occupation,http://data.europa.eu/esco/occupation/dc97adbe-f807-4ad8-8f3c-c24b3416cdef,1221.5,digital marketing manager,0.0
Occupation,http://data.europa.eu/esco/occupation/6ce3c372-408b-4c46-86d8-ad6b9255d686,1221.6,tourism product manager,0.166666666666666
Occupation,http://data.europa.eu/esco/occupation/53a362a4-4c83-4ce2-837f-d1faba4cd247,1221.7,bid manager,0.0
ISCO level 4,http://data.europa.eu/esco/isco/C1221,1221,Sales and marketing managers,0.02960993271722678
Occupation,http://data.europa.eu/esco/occupation/4ebf2dae-c326-4627-befe-fbc91410f432,1222.1.1,advertising manager,0.0181818181818181
Occupation,http://data.europa.eu/esco/occupation/6cc19251-763b-4de1-b4f7-526c9ff732d2,1222.1.2,public relations manager,0.00884955752212389
Occupation,http://data.europa.eu/esco/occupation/cd7b838c-51f6-41ec-9067-bb974c0f991b,1222.1,communication manager,0.0327868852459016
ISCO level 4,http://data.europa.eu/esco/isco/C1222,1222,Advertising and public relations managers,0.01993942031661453
Occupation,http://data.europa.eu/esco/occupation/73856e9e-eca2-44c2-bb3c-aaedf4b25979,1223.1.1,insurance product manager,0.0256410256410256
Occupation,http://data.europa.eu/esco/occupation/9f508305-80ce-4111-8722-f2c9b4a44890,1223.1,product manager,0.032258064516129
Occupation,http://data.europa.eu/esco/occupation/01bcac9f-7881-4664-bd63-dea700e3b117,1223.2.1.1,clothing development manager,0.0434782608695652
Occupation,http://data.europa.eu/esco/occupation/ef6020f9-11b4-4d1a-96e0-903331594121,1223.2.1.2,footwear product development manager,0.0555555555555555
Occupation,http://data.europa.eu/esco/occupation/62001bb7-4611-4b61-903e-d98589c0821a,1223.2.1.3,games development manager,0.0
Occupation,http://data.europa.eu/esco/occupation/ada3fc30-c205-4279-90b8-ed5c7c467626,1223.2.1.4,leather goods product development manager,0.0512820512820512
Occupation,http://data.europa.eu/esco/occupation/1488589a-7b83-471d-b094-492f5616f4e0,1223.2.1,product development manager,0.0357142857142857
Occupation,http://data.europa.eu/esco/occupation/9db7d74c-b46d-45c0-b611-6bcb7456ecc6,1223.2.2.1,ICT research manager,0.0204081632653061
Occupation,http://data.europa.eu/esco/occupation/c02ee787-c30b-4f0d-9d7f-6eb36fc44a5d,1223.2.2,research manager,0.0294117647058823
Occupation,http://data.europa.eu/esco/occupation/9f1d546b-1b4e-4b64-97e8-600fc502304b,1223.2.3,innovation officer,0.0434782608695652
Occupation,http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440,1223.2,research and development manager,0.048780487804878
Occupation,http://data.europa.eu/esco/occupation/8a0afc76-4a09-449a-9e7b-a33495889f95,1223.3,chief product officer,0.0
ISCO level 4,http://data.europa.eu/esco/isco/C1223,1223,Research and development managers,0.03216732668535365
ISCO level 3,http://data.europa.eu/esco/isco/C131,131,"Production managers in agriculture, forestry and fisheries",0.15848987962194622
Occupation,http://data.europa.eu/esco/occupation/f04eaeff-52f5-4d52-93ad-6f846884827f,1311.1,forester,0.372093023255813
ISCO level 4,http://data.europa.eu/esco/isco/C1311,1311,Agricultural and forestry production managers,0.372093023255813
Occupation,http://data.europa.eu/esco/occupation/4fe4b1f1-e84d-4056-b062-83d5a64fc571,1312.1,aquaculture harvesting manager,0.0196078431372549
Occupation,http://data.europa.eu/esco/occupation/a5826284-14fb-4866-b9be-69ce69db1b71,1312.2,aquaculture husbandry manager,0.131147540983606
Occupation,http://data.europa.eu/esco/occupation/5945cba8-19a4-4632-8a8f-4186e2bad1a3,1312.3,aquaculture production manager,0.111111111111111
ISCO level 4,http://data.europa.eu/esco/isco/C1312,1312,Aquaculture and fisheries production managers,0.08728883174399064
ISCO level 3,http://data.europa.eu/esco/isco/C132,132,"Manufacturing, mining, construction, and distribution managers",0.0458292831389648
Occupation,http://data.europa.eu/esco/occupation/caa75a5b-b32f-4d57-bffa-03dbb91058cf,1321.1,green coffee coordinator,0.0
Occupation,http://data.europa.eu/esco/occupation/0d21a30d-25d9-427b-b8e4-339408425ff5,1321.2.1.1,chemical production manager,0.0769230769230769
Occupation,http://data.europa.eu/esco/occupation/3afd6af4-0c34-4311-ad73-65adc2571f0c,1321.2.1.2,clothing operations manager,0.0714285714285714
Occupation,http://data.europa.eu/esco/occupation/a7d6a377-3d3b-41cf-9301-f4a0a7ad3d96,1321.2.1.3,food production manager,0.169811320754716
Occupation,http://data.europa.eu/esco/occupation/6482664d-48f4-4ff4-9346-584ac0e2f729,1321.2.1.4,footwear production manager,0.05
Occupation,http://data.europa.eu/esco/occupation/a2bc52c2-9802-4929-a95c-6379d9f19204,1321.2.1.5,leather finishing operations manager,0.0571428571428571
Occupation,http://data.europa.eu/esco/occupation/e5257110-e7f1-453a-a2dc-bd374945bc4a,1321.2.1.6.1,leather goods production manager,0.0408163265306122
Occupation,http://data.europa.eu/esco/occupation/262d4e45-0cf7-4399-be6f-3d5e96826ef2,1321.2.1.6.2,leather wet processing department manager,0.0588235294117647
Occupation,http://data.europa.eu/esco/occupation/316309e4-5fce-4dca-85d1-07702217ea19,1321.2.1.6,leather production manager,0.054054054054054
Occupation,http://data.europa.eu/esco/occupation/45517bc3-0887-416d-95fe-6ace1b90bddd,1321.2.1.7,metallurgical manager,0.04
Occupation,http://data.europa.eu/esco/occupation/0368c4d4-94cf-4168-a84d-283a25880e0d,1321.2.1.8,metal production manager,0.0
Occupation,http://data.europa.eu/esco/occupation/eb9479c6-5fdf-4f45-ace4-28b547b8c7e5,1321.2.1,industrial production manager,0.0571428571428571
Occupation,http://data.europa.eu/esco/occupation/02f26b2f-879c-4811-8381-65e8dd3f4a16,1321.2.2.1,footwear quality manager,0.0909090909090909
Occupation,http://data.europa.eu/esco/occupation/1f8967ce-9faa-4d56-a656-50e041f7d07e,1321.2.2.2,leather goods quality manager,0.0625
Occupation,http://data.europa.eu/esco/occupation/652b847f-837a-4a08-bd5e-36397fe56455,1321.2.2.3,textile quality manager,0.0476190476190476
Occupation,http://data.europa.eu/esco/occupation/fdb16700-109e-4d02-949e-3213f278df93,1321.2.2,industrial quality manager,0.0204081632653061
Occupation,http://data.europa.eu/esco/occupation/c6bd511a-d966-4df9-a48e-4f800354f268,1321.2.3,operations manager,0.125683060109289
Occupation,http://data.europa.eu/esco/occupation/9deee896-be9b-4aac-b55e-ceff1a7a843a,1321.2.4,sewerage systems manager,0.363636363636363
Occupation,http://data.europa.eu/esco/occupation/9a20c93e-a345-4a46-a406-9ffbf11daeef,1321.2.5,waste management officer,0.577777777777777
Occupation,http://data.europa.eu/esco/occupation/6426ada1-4d8c-4612-99e3-91bc569805ee,1321.2,manufacturing manager,0.172043010752688
Occupation,http://data.europa.eu/esco/occupation/518348e6-0095-4f37-ad46-5ef1b8b5ee2f,1321.3,textile operations manager,0.037037037037037
ISCO level 4,http://data.europa.eu/esco/isco/C1321,1321,Manufacturing managers,0.1035121973569099
Occupation,http://data.europa.eu/esco/occupation/df66a6e6-2130-4932-8aaf-263dafa569fa,1322.1.1,mine production manager,0.032258064516129
Occupation,http://data.europa.eu/esco/occupation/0633ec3f-91f1-4038-bc29-e0ec4cd7f1e9,1322.1.2,oil and gas production manager,0.0512820512820512
Occupation,http://data.europa.eu/esco/occupation/107d21c6-973b-411c-89fd-69da48d29ada,1322.1,mine manager,0.0789473684210526
Occupation,http://data.europa.eu/esco/occupation/b156960c-8508-4067-908d-f167847c55b1,1322.2,quarry manager,0.0833333333333333
ISCO level 4,http://data.europa.eu/esco/isco/C1322,1322,Mining managers,0.061455204388141525
Occupation,http://data.europa.eu/esco/occupation/ba3bacd4-73e9-4861-a9c0-f89f1f28055a,1323.1.1,construction general contractor,0.205128205128205
Occupation,http://data.europa.eu/esco/occupation/b9711647-463f-4991-a858-d5de66ff2f83,1323.1.2,property developer,0.0975609756097561
Occupation,http://data.europa.eu/esco/occupation/faed05c0-c1d1-4e34-b575-0dea96459e56,1323.1,construction manager,0.142857142857142
ISCO level 4,http://data.europa.eu/esco/isco/C1323,1323,Construction managers,0.1485154411983677
Occupation,http://data.europa.eu/esco/occupation/fc35b7ca-ecec-40d7-91b5-5065f662d955,1324.1,airport director,0.0344827586206896
Occupation,http://data.europa.eu/esco/occupation/0d442b70-5413-4820-bebf-36dd5ce437ac,1324.2,air traffic manager,0.037037037037037
Occupation,http://data.europa.eu/esco/occupation/73d3ce3c-296c-4f85-9381-2eed6f3ae5fa,1324.3.1.1,inland water transport general manager,0.0555555555555555
Occupation,http://data.europa.eu/esco/occupation/baae6dd1-4a59-480d-83b1-a0708a5a1736,1324.3.1.2,maritime water transport general manager,0.1
Occupation,http://data.europa.eu/esco/occupation/98ad0008-13d9-4e9b-94bf-4f4a5faae764,1324.3.1.3,rail operations manager,0.0
Occupation,http://data.europa.eu/esco/occupation/4ea620f2-5c75-49ee-85a0-b2fb6bbf3624,1324.3.1.4,road operations manager,0.172413793103448
Occupation,http://data.europa.eu/esco/occupation/f56e33a3-01bb-46ba-98f4-d47aa242b983,1324.3.1.5,road transport division manager,0.09375
Occupation,http://data.europa.eu/esco/occupation/e04bca7b-c0c7-454d-9d15-dfb64a30dc0a,1324.3.1.6.1,agricultural machinery and equipment distribution manager,0.0
Occupation,http://data.europa.eu/esco/occupation/449f6aef-a8e6-4edc-aea4-802a7b773e00,1324.3.1.6.2,"agricultural raw materials, seeds and animal feeds distribution manager",0.0
Occupation,http://data.europa.eu/esco/occupation/e0433bbb-8a93-4ab4-ac7a-84ccc1a04637,1324.3.1.6.3,beverages distribution manager,0.0
Occupation,http://data.europa.eu/esco/occupation/87426cf2-9e36-46a4-aa4f-6a8d20dd93d6,1324.3.1.6.4,chemical products distribution manager,0.0
Occupation,http://data.europa.eu/esco/occupation/37f92bd9-b14c-4ab5-82fb-545ba7ba3b8b,1324.3.1.6.5,china and glassware distribution manager,0.0
Occupation,http://data.europa.eu/esco/occupation/625d316c-2b93-4a9c-ada2-b19efa7c611b,1324.3.1.6.6,clothing and footwear distribution manager,0.0
Occupation,http://data.europa.eu/esco/occupation/f8d7d59d-242d-4903-9e0d-d2d23a0ef4c3,1324.3.1.6.7,"coffee, tea, cocoa and spices distribution manager",0.0
Occupation,http://data.europa.eu/esco/occupation/243f3b7e-cd7a-419a-94c0-d4f2040f09af,1324.3.1.6.8,"computers, computer peripheral equipment and software distribution manager",0.0
Occupation,http://data.europa.eu/esco/occupation/c1ee52e0-f30a-4f8d-a7f5-b07f5f06f88f,1324.3.1.6.9,dairy products and edible oils distribution manager,0.0
Occupation,http://data.europa.eu/esco/occupation/de0084a5-7e00-43cc-bc51-3cb70a031295,1324.3.1.6.10,electrical household appliances distribution manager,0.0
Occupation,http://data.europa.eu/esco/occupation/032d4115-03ec-49c9-853d-678f8a41969b,1324.3.1.6.11,electronic and telecommunications equipment and parts distribution manager,0.0
Occupation,http://data.europa.eu/esco/occupation/2ad52381-6adb-4262-b17c-ea7fcb3b6696,1324.3.1.6.12,"fish, crustaceans and molluscs distribution manager",0.0
Occupation,http://data.europa.eu/esco/occupation/23a9e478-d465-4b61-b6d9-97b7e90af17a,1324.3.1.6.13,flowers and plants distribution manager,0.0
Occupation,http://data.europa.eu/esco/occupation/73bdadf0-2175-4097-8f4d-b6dabeb0a030,1324.3.1.6.14,fruit and vegetables distribution manager,0.103448275862068
Occupation,http://data.europa.eu/esco/occupation/bd7c070b-333f-4b9d-a70a-25f135ff931e,1324.3.1.6.15,furniture carpets and lighting equipment distribution manager,0.0
Occupation,http://data.europa.eu/esco/occupation/d46a0f9d-4474-46f8-b59d-7970da915b94,1324.3.1.6.16,"hardware, plumbing and heating equipment and supplies distribution manager",0.0
Occupation,http://data.europa.eu/esco/occupation/7ff7ab7d-12a6-4d87-ac91-8a8f3540b1c0,1324.3.1.6.17,"hides, skins and leather products distribution manager",0.0
Occupation,http://data.europa.eu/esco/occupation/a49e1479-90c4-41d2-871b-ac58ebc4894b,1324.3.1.6.18,household goods distribution manager,0.0
Occupation,http://data.europa.eu/esco/occupation/29a95106-3680-427b-bd1c-3f13d6999241,1324.3.1.6.19,live animals distribution manager,0.0
Occupation,http://data.europa.eu/esco/occupation/96c870c0-f93a-43c3-9ce4-1fe9e737fece,1324.3.1.6.20,"machinery, industrial equipment, ships and aircraft distribution manager",0.0357142857142857
Occupation,http://data.europa.eu/esco/occupation/ee5f8b2f-4b40-4426-8290-a6926ae4898b,1324.3.1.6.21,meat and meat products distribution manager,0.0
Occupation,http://data.europa.eu/esco/occupation/52d303a7-630b-4e3f-9f62-becd9b2fcb46,1324.3.1.6.22,metals and metal ores distribution manager,0.0
Occupation,http://data.europa.eu/esco/occupation/ad404c6b-291f-439e-9ad4-c93ddabd3c13,1324.3.1.6.23,"mining, construction and civil engineering machinery distribution manager",0.0
Occupation,http://data.europa.eu/esco/occupation/b7474960-a03e-46c3-88ce-81575cb8f657,1324.3.1.6.24,perfume and cosmetics distribution manager,0.0
Occupation,http://data.europa.eu/esco/occupation/24af7ff6-bd84-43a6-8cba-e60776f956f5,1324.3.1.6.25,pharmaceutical goods distribution manager,0.0
