conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/42fcf80d-7b45-40f3-bd2f-5411c4c0dfa0,identify technological needs,released,skill/competence,cross-sector,identify needs and technological responses | assess technological needs,Assess needs and identify digital tools and possible technological responses to address them. Adjust and customise digital environments to personal needs (e.g. accessibility).,http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/aca5081a-ceb0-4028-9cc5-1daafd4f86f9,problem-solving with digital tools | developing solutions
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4d97e3c3-f335-47cc-a4ee-0d779fd42222,"manage data, information and digital content",released,skill/competence,cross-sector,manage digital content information | manage digital data,"Organise, store and retrieve data, information and content in digital environments. Organise and process them in a structured environment.",http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a | http://data.europa.eu/esco/skill/32c017fd-28ab-4051-bf68-74de952c2f77,digital data processing | managing information
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,digital communication and collaboration,released,,,electronic communication | digital communications | paperless communication,"Communicate in digital environments, share resources through online tools, link with others and collaborate through digital tools, interact with and participate in communities and networks, cross-cultural awareness.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,using digital tools for collaboration and productivity
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5af49836-2269-46d9-87b9-0d3140c6c22e,integrate and re-elaborate digital content,released,skill/competence,cross-sector,modify and integrate digital content,"Modify, refine, improve and integrate information and content into an existing body of knowledge to create new, original and relevant content and knowledge.",http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,digital content creation | using digital tools for collaboration and productivity
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5fd5c985-eaaa-47aa-8314-62359c54505a,develop digital content,released,skill/competence,cross-sector,,"Create and edit digital content in different formats, express oneself through digital means.",http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,digital content creation | using digital tools for collaboration and productivity
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a,digital data processing,released,,,electronic data processing | processing of data digitally | data processing | paperless data processing,"Identify, locate, retrieve, store, organise and analyse digital information, judging its relevance and purpose.",http://data.europa.eu/esco/skill/4d6a48ae-352e-4823-bc3a-3f3e9e2cae86,accessing and analysing digital data
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91,problem-solving with digital tools,released,,,problem-solving with ICT hardware and tools | resolving issues with ICT tools and hardware | problem-solving with information and communication technologies tools and hardware | finding solutions with ICT tools and hardware | ICT tools and hardware problem solving | problem-solve with ICT tools and hardware,"Identify digital needs and resources, make informed decisions on most appropriate digital tools according to the purpose or need, solve conceptual problems through digital means, creatively use technologies, solve technical problems, update own and other's competence.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,using digital tools for collaboration and productivity
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a12057b4-6d11-4a12-ab8e-15a028ef0a6d,interact through digital technologies,released,skill/competence,cross-sector,make use of online communication tools | communicate in digital environments | apply online communication tools | interact through ICT | use e-mail software and services | use online communication tools | communicate on-line | using online communication tools | utilise online communication tools | able to use online communication tools,Interact through a variety of digital technologies and understand appropriate digital communication means for a given context.,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,digital communication and collaboration | using digital tools for collaboration and productivity
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a91732ce-988e-4105-9570-f425c6ffdc82,intellectual property regime of digital content,released,knowledge,cross-sector,digital content IPR | copyright and licenses related to digital content,"Copyright and licencing provisions that apply to data, information and digital content.",http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8 | http://data.europa.eu/esco/isced-f/0211,digital content creation | audio-visual techniques and media production
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bc0b0b5d-f6be-405a-b224-b6902a4dbe97,manage digital identity,released,skill/competence,cross-sector,protecting privacy and identity on the Internet,"Create and manage one or multiple digital identities, be able to protect one's own reputation, deal with the data that one produces through several digital tools, environments and services.",http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,digital communication and collaboration | working with digital devices and applications
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c4ba12d1-4698-42fa-8abb-789462ea2586,protect the environment from the impact of the digital technologies,released,skill/competence,occupation-specific,,Be aware of the environmental impact of digital technologies and their use.,http://data.europa.eu/esco/skill/2aaad52d-599e-4e77-a681-bbc236825821 | http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/8064ae65-5d1b-44e1-9aaf-246a4285a9a6,evaluate environmental impact of personal behaviour | ICT safety | complying with environmental protection laws and standards
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d1ed5b3a-cab5-4c5d-baf8-0214998b58fb,protect health and well-being while using digital technologies,released,skill/competence,cross-sector,safeguard health and well-being while using digital technologies | assure health and well-being while using digital technologies | ensure compliance with health and well-being practices while using digital technologies | ensure health and well-being protection while using digital technologies | secure health and well-being while using digital technologies,Be able to avoid health-risks and threats to physical and psychological well-being while using digital technologies. Be able to protect oneself and others from possible dangers in digital environments (e.g. cyber bullying). Be aware of digital technologies for social well-being and social inclusion.,http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/5bcec244-3efe-45ac-8891-0ab4a91e9c48,ICT safety | complying with health and safety procedures
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/df329d70-87b0-466b-a214-3431f36e2a5e,protect ICT devices,released,skill/competence,cross-sector,Cloudmark DesktopOne Pro | up-date online security measures | AVS Firewall | CleanMail Home | MailWasher Pro | Matrix Systems Access Control | Kingsoft Antivirus | Zone Alarm Firewall | Agnitum Outpost Firewall | Tyco Integrated Security Managed Access Control | Norton Security Deluxe | AddTech Controls | use anti-virus software | protect information and communication technologies devices | AVG Anti-Virus | IDenticard Systems PremiSys | keep ICT devices safe | implement SPAM-ware | implement private ICT user security measures | Honeywell Managed Access Control | set up passwords and private settings | protect personal data | McAfee AntiVirus | SPAMfighter | ADT Access Control | Bitdefender Antivirus | Kaspersky Anti-Virus | take care of ICT devices | protect ICT device | safeguard ICT devices | ESET NOD32 Antivirus,"Protect devices and digital content, and understand risks and threats in digital environments. Know about safety and security measures and have due regard to reliability and privacy. Make use of tools and methods which maximise security of ICT devices and information by controlling access, such as passwords, digital signatures, biometry, and protecting systems such as firewall, antivirus, spam filters.",http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/185c56ee-098f-46a1-af87-56337085da6f,ICT safety | protecting ict devices
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e439742d-558d-4f52-885e-afdc740b48cf,"browse, search and filter data, information and digital content",released,skill/competence,cross-sector,"search, browse, and filter information and digital content","Articulate information needs, search for data, information and content in digital environments, access them and navigate between them. Create and update personal search strategies.",http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a | http://data.europa.eu/esco/skill/258fea29-09db-4918-8235-0d7d529cd31c,"digital data processing | browsing, searching and filtering digital data"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8,digital content creation,released,,,content-creation with ICT program | content created by ICT software | ICT software content-creation | content-creation with ICT softwares | content creation with ICT software,"Create and edit new content (from word processing to images and video); integrate and re-elaborate previous knowledge and content; produce creative expressions, media outputs and programming; deal with and apply intellectual property rights and licences.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,using digital tools for collaboration and productivity
