conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07cacd8e-6aaf-4cab-abeb-28319f454606,skill/competence,transversal,understand written Ukrainian,released,read Ukrainian | make sense of written Ukrainian | understand Ukrainian writing | comprehend written Ukrainian | interpret written Ukrainian,Read and comprehend written texts in Ukrainian.,http://data.europa.eu/esco/skill/354b948c-7eef-4ebc-bfd6-f60d7d5acb62,Ukrainian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08759658-fffc-4951-bea0-1fb51d06eb89,skill/competence,transversal,understand written Spanish,released,read Spanish | read Castilian | interpret written Spanish | comprehend written Spanish | understand Spanish writing | make sense of written Spanish,Read and comprehend written texts in Spanish.,http://data.europa.eu/esco/skill/14ee9f76-3524-43d5-8a1a-5ba8283f8bd7,Spanish
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08ee9a78-5eb5-426c-b34e-9ef0e0f88cc5,skill/competence,transversal,understand written Armenian,released,make sense of written Armenian | comprehend written Armenian | understand Armenian writing | interpret written Armenian | read Armenian,Read and comprehend written texts in Armenian.,http://data.europa.eu/esco/skill/fcbcdf4c-d079-4010-ab4b-8356fbfa5096,Armenian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0a1e6554-1c6b-42c6-970b-8d9a307cdb5e,skill/competence,transversal,write Javanese,released,correspond in written Javanese | show competency in written Javanese | correspond in written basa jawa | correspond in written cara jawa,Compose written texts in Javanese.,http://data.europa.eu/esco/skill/7a86907d-1fd5-4e8f-b0f1-f366a14f6f6d,Javanese
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0a35de65-e51d-4862-a425-2f4dd5c4a982,skill/competence,transversal,write Bosnian,released,show competency in written Bosnian | correspond in written Bosnian,Compose written texts in Bosnian.,http://data.europa.eu/esco/skill/a9fdd2c9-4295-4407-ba3c-1547cbce40a2,Bosnian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0b8a3319-54be-4b35-8425-c31d1f42f186,skill/competence,transversal,write Sanskrit,released,,Compose written texts in Sanskrit.,http://data.europa.eu/esco/skill/45289df8-d02d-4f08-9802-2c7deae944ad,Sanskrit
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0dc4ee3d-3e51-4765-bc1c-996707beeea1,skill/competence,transversal,understand written Sardinian,released,comprehend written Sardinian | make sense of written Sardinian | interpret written Sardinian | read Sardinian | comprehend written Sardu | comprehend written Sard | understand Sardinian writing,Read and comprehend written texts in ​Sardinian.,http://data.europa.eu/esco/skill/1627c1b9-31e1-4742-bf5c-cfec2ce33cfc,Sardinian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e3493f4-0cad-4fbc-8e02-025f169b8114,knowledge,transversal,Finnish,released,competent in Finnish | ability to comprehend spoken and written Finnish and to speak and write in Finnish,The Finnish language. Finnish is an official and working language of the EU.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,mastering languages | languages
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e91219a-e74a-46e6-bcf9-9e14da031343,skill/competence,transversal,write Ukrainian,released,show competency in written Ukrainian | correspond in written Ukrainian,Compose written texts in Ukrainian.,http://data.europa.eu/esco/skill/354b948c-7eef-4ebc-bfd6-f60d7d5acb62,Ukrainian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0ee9e985-0ee5-4a73-8a12-78b53b261bb2,skill/competence,transversal,interact verbally in English,released,verbally interact in English | communicate verbally in English | speak English,Communicate orally in English.,http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,English
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0efbd0a0-0272-445d-90a8-ebb2a9b5058b,skill/competence,transversal,understand spoken Bosnian,released,comprehend spoken Bosnian | make sense of spoken Bosnian | interpret spoken Bosnian | listen to Bosnian | understand Bosnian speech,Comprehend orally expressed ​Bosnian.,http://data.europa.eu/esco/skill/a9fdd2c9-4295-4407-ba3c-1547cbce40a2,Bosnian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0f58a178-1382-4df2-95e8-2b3f90e80e24,skill/competence,transversal,interact verbally in Spanish,released,verbally interact in Spanish | speak Spanish | communicate verbally in Spanish,Communicate orally in Spanish.,http://data.europa.eu/esco/skill/14ee9f76-3524-43d5-8a1a-5ba8283f8bd7,Spanish
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0f775d62-d543-40dd-aaaf-56195c2bfd80,skill/competence,transversal,understand spoken Persian,released,make sense of spoken Persian | understand Persian speech | listen to Farsi | listen to Persian | interpret spoken Persian | comprehend spoken Farsi | comprehend spoken Persian,Comprehend orally expressed Persian.,http://data.europa.eu/esco/skill/58cabf75-2520-4358-a210-2cbc628f4aa2,Persian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/10323914-77bf-41f2-b081-42b6e972d08d,skill/competence,transversal,understand written Icelandic,released,comprehend written Icelandic | read Icelandic | make sense of written Icelandic | understand Icelandic writing | interpret written Icelandic,Read and comprehend written texts in Icelandic.,http://data.europa.eu/esco/skill/a18e3090-6afb-4afb-a055-1f83bbe498e3,Icelandic
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/10b306ae-6a1b-4e62-b06d-8702cfc6814c,skill/competence,transversal,understand written Tamil,released,interpret written Tamil | read Tamil | comprehend written Tamil | make sense of written Tamil | understand Tamil writing,Read and comprehend written texts in Tamil.,http://data.europa.eu/esco/skill/e9e9b625-f59f-4bda-952d-1f9831e6dfda,Tamil
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1299a59c-8b90-4838-8bef-0065cdfc8bdf,skill/competence,transversal,write Punjabi,released,show competency in written Punjabi | write Panjabi | correspond in written Punjabi,Compose written texts in Punjabi.,http://data.europa.eu/esco/skill/e05b9e06-d298-4646-b762-acbd485a20e9,Punjabi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/13fc11d0-d35f-4a2c-9115-b0e2ed372523,skill/competence,transversal,understand written Basque,released,interpret written Basque | make sense of written Basque | comprehend written Basque | understand Basque writing | read Basque,Read and comprehend written texts in ​Basque.,http://data.europa.eu/esco/skill/a28fa5f1-be5b-4608-8376-acea8c2f8cb1,Basque
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1408a267-21e1-479e-bd40-197fa14b3024,skill/competence,transversal,understand spoken Estonian,released,interpret spoken Estonian | comprehend spoken Estonian | listen to Estonian | make sense of spoken Estonian | understand Estonian speech,Comprehend orally expressed Estonian.,http://data.europa.eu/esco/skill/1b7e6f56-bc73-4bcc-81ae-09252175d418,Estonian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1495fc80-05c1-4f5b-82ae-9abc612364cc,skill/competence,transversal,understand spoken Montenegrin,released,listen to Montenegrin | interpret spoken Montenegrin | understand Montenegrin speech | make sense of spoken Montenegrin | comprehend spoken Montenegrin,Comprehend orally expressed Montenegrin.,http://data.europa.eu/esco/skill/2358a146-6e8f-43cb-872f-a12ac9c57d60,Montenegrin
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14ee9f76-3524-43d5-8a1a-5ba8283f8bd7,knowledge,transversal,Spanish,released,Castilian,The Spanish language. Spanish is an official and working language of the EU.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,mastering languages | languages
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14fc9b06-bf35-4b35-8f07-c53856ef18bc,skill/competence,transversal,write Russian,released,show competency in written Russian | correspond in written Russian,Compose written texts in Russian.,http://data.europa.eu/esco/skill/6891bbce-20bf-4afc-bd5e-75bdf54c0165,Russian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1500f1a7-d348-4d9e-b0a0-5792645f6c7a,skill/competence,transversal,understand written Javanese,released,interpret written Javanese | make sense of written Javanese | read Javanese | understand Javanese writing | comprehend written basa jawa | comprehend written Javanese | comprehend written cara jawa,Read and comprehend written texts in Javanese.,http://data.europa.eu/esco/skill/7a86907d-1fd5-4e8f-b0f1-f366a14f6f6d,Javanese
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/15db81bb-7ee6-4a5f-838f-0e8a731b1fb7,skill/competence,transversal,interact verbally in Montenegrin,released,speak Montenegrin | verbally interact in Montenegrin | communicate verbally in Montenegrin,Communicate orally in Montenegrin.,http://data.europa.eu/esco/skill/2358a146-6e8f-43cb-872f-a12ac9c57d60,Montenegrin
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/15ea7b6b-1b93-4ed8-b58a-5c54777e0832,knowledge,transversal,Bihari,released,ability to comprehend spoken and written Bihari and to speak and write in Bihari | competent in Bihari,The Bihari language.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,mastering languages | languages
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/15f261e6-4379-437e-b137-b0c473ae3e74,knowledge,transversal,Macedonian,released,ability to comprehend spoken and written Macedonian and to speak and write in Macedonian | competent in Macedonian,The Macedonian language.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,mastering languages | languages
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1627c1b9-31e1-4742-bf5c-cfec2ce33cfc,knowledge,transversal,Sardinian,released,Sardu | competent in Sardinian | Sard | ability to comprehend spoken and written Sardinian and to speak and write in Sardinian,The Sardinian language.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,mastering languages | languages
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1658c54a-05f7-4bde-a2f0-be67bfbda596,skill/competence,transversal,interact verbally in Icelandic,released,communicate verbally in Icelandic | speak Icelandic | verbally interact in Icelandic,Communicate orally in Icelandic.,http://data.europa.eu/esco/skill/a18e3090-6afb-4afb-a055-1f83bbe498e3,Icelandic
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/16af0cae-57a8-478b-9095-13d3a170c9e7,skill/competence,transversal,understand spoken Japanese,released,comprehend spoken Japanese | make sense of spoken Japanese | understand Japanese speech | interpret spoken Japanese | listen to Japanese,Comprehend orally expressed Japanese.,http://data.europa.eu/esco/skill/39c675c4-af13-49db-bbed-cf762102f85e,Japanese
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/16c86dd8-00fa-4fbd-a0a9-bb59f83ebc85,skill/competence,transversal,write Czech,released,correspond in written Czech | show competency in written Czech,Compose written texts in Czech.,http://data.europa.eu/esco/skill/da0795a7-6866-4afc-81ed-5e3aa398f058,Czech
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1778faed-42eb-4aba-a41a-83989cb6bc6b,skill/competence,transversal,understand spoken Croatian,released,make sense of spoken Croatian | comprehend spoken Croatian | interpret spoken Croatian | understand Croatian speech | listen to Croatian,Comprehend orally expressed Croatian.,http://data.europa.eu/esco/skill/6bc58e91-1827-4dc7-a9cf-2311edcba0ec,Croatian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/185647bf-e101-4080-9a40-09173d7eefd0,skill/competence,transversal,interact verbally in Welsh,released,speak Welsh | verbally interact in Welsh | communicate verbally in Welsh,Communicate orally in Welsh.,http://data.europa.eu/esco/skill/8dbd15c6-ecf0-468c-8ae1-f6eb360743dd,Welsh
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/18e55722-e209-49a4-9f2c-ff0a789b3a68,skill/competence,transversal,interact verbally in Tamil,released,verbally interact in Tamil | speak Tamil | communicate verbally in Tamil,Communicate orally in Tamil.,http://data.europa.eu/esco/skill/e9e9b625-f59f-4bda-952d-1f9831e6dfda,Tamil
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1988ce17-ce7a-44b9-9fce-5aaea5f811f5,skill/competence,transversal,write Armenian,released,correspond in written Armenian | show competency in written Armenian,Compose written texts in Armenian.,http://data.europa.eu/esco/skill/fcbcdf4c-d079-4010-ab4b-8356fbfa5096,Armenian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19b04a30-2e1d-4893-a86c-bde277765c7f,skill/competence,transversal,write Lithuanian,released,show competency in written Lithuanian | correspond in written Lithuanian,Compose written texts in Lithuanian.,http://data.europa.eu/esco/skill/b3950b87-a980-4cd4-a795-be8a9b63661d,Lithuanian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1a61a520-f4a5-48fe-9087-3d0e46943d8e,skill/competence,transversal,understand written Irish,released,interpret written Irish | read Irish | comprehend written Gaelic | comprehend written Irish | comprehend written Irish Gaelic | understand Irish writing | make sense of written Irish,Read and comprehend written texts in Irish.,http://data.europa.eu/esco/skill/8f4c0fe6-10c7-409e-92d6-245f46728209,Irish
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1b7e6f56-bc73-4bcc-81ae-09252175d418,knowledge,transversal,Estonian,released,competent in Estonian | ability to comprehend spoken and written Estonian and to speak and write in Estonian,The Estonian language. Estonian is an official and working language of the EU.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,mastering languages | languages
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1d3c5ca3-e154-4a43-883e-7496e8886cd6,skill/competence,transversal,write Romanian,released,write Moldovan | show competency in written Romanian | write Moldavian | correspond in written Romanian,Compose written texts in Romanian.,http://data.europa.eu/esco/skill/4b9f1ae5-0ee6-4738-8999-9b8191fba808,Romanian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1d5526b3-f17b-46fc-ba7d-f4a32d908a7e,skill/competence,transversal,understand spoken German,released,make sense of spoken German | interpret spoken German | listen to German | comprehend spoken German | understand German speech,Comprehend orally expressed German.,http://data.europa.eu/esco/skill/4812a4ea-dc55-4dc6-b9b0-4a59bba2c647,German
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1f90c205-f869-4dcf-a374-c4fdeded9cbc,knowledge,transversal,Malay,released,Malaysian | competent in Malay | ability to comprehend spoken and written Malay and to speak and write in Malay,The Malay language.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,mastering languages | languages
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1fe42b38-cd42-4fc7-ae77-14e4c9e96295,knowledge,transversal,Chinese,released,Cantonese | Standard Chinese | ability to comprehend spoken and written Chinese and to speak and write in Chinese | competent in Chinese,The Chinese language.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,mastering languages | languages
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2080075c-0488-4fbf-a786-734dbbef31ce,knowledge,transversal,Marathi,released,competent in Marathi | ability to comprehend spoken and written Marathi and to speak and write in Marathi,The Marathi language.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,mastering languages | languages
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20d51474-58e1-4fb3-aec3-57bdc187c5ce,skill/competence,transversal,write Turkish,released,correspond in written Turkish | show competency in written Turkish,Compose written texts in Turkish.,http://data.europa.eu/esco/skill/aa66a033-8522-40e9-a5c0-ff2593e2669c,Turkish
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/214da014-b85e-4bb5-961d-1198a05e6b67,skill/competence,transversal,understand written Macedonian,released,read Macedonian | comprehend written Macedonian | interpret written Macedonian | understand Macedonian writing | make sense of written Macedonian,Read and comprehend written texts in Macedonian.,http://data.europa.eu/esco/skill/15f261e6-4379-437e-b137-b0c473ae3e74,Macedonian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2203ac44-f4a7-4d34-a55f-1af107415988,skill/competence,transversal,understand written Punjabi,released,read Punjabi | make sense of written Punjabi | understand written Panjabi | interpret written Punjabi | understand Punjabi writing | comprehend written Panjabi | comprehend written Punjabi | read Panjabi,Read and comprehend written texts in Punjabi.,http://data.europa.eu/esco/skill/e05b9e06-d298-4646-b762-acbd485a20e9,Punjabi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/222bf50b-6739-48b1-a655-658306c3529f,skill/competence,transversal,write Romani,released,correspond in written Romany | show competency in written Romani | correspond in written Romani,Compose written texts in Burlgarian Romani.,http://data.europa.eu/esco/skill/8ef3eccc-a847-430e-b828-cf178803b8c1,Romani
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/227accd5-5e70-4cc3-8f1c-3f7b52eb6848,skill/competence,transversal,interact verbally in Arabic,released,communicate verbally in Arabic | verbally interact in Arabic | speak Arabic,Communicate orally in Arabic.,http://data.europa.eu/esco/skill/33859d93-987c-4caa-a0a9-6159ea7bbc2a,Arabic
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2358a146-6e8f-43cb-872f-a12ac9c57d60,knowledge,transversal,Montenegrin,released,ability to comprehend spoken and written Montenegrin and to speak and write in Montenegrin | competent in Montenegrin,The Montenegrin language.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,mastering languages | languages
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/237420c1-1882-4ce0-aa48-41a8e61977e5,skill/competence,transversal,understand spoken Vietnamese,released,interpret spoken Vietnamese | understand Vietnamese speech | make sense of spoken Vietnamese | comprehend spoken Vietnamese | listen to Vietnamese,Comprehend orally expressed Vietnamese.,http://data.europa.eu/esco/skill/bf60009d-8afb-4306-9b0d-cfe2f66ab08f,Vietnamese
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/246980fe-6222-4852-ade8-b372f7e0fd20,knowledge,transversal,Slovak,released,competent in Slovak | ability to comprehend spoken and written Slovak and to speak and write in Slovak,The Slovak language. Slovak is an official and working language of the EU.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,mastering languages | languages
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/25fcf0ff-1615-44b8-a81a-e6e8ce9deed7,skill/competence,transversal,interact verbally in Hindi,released,speak Hindi | verbally interact in Hindi | communicate verbally in Hindi,Communicate orally in Hindi.,http://data.europa.eu/esco/skill/d93a7370-bf56-43f5-be54-e108f8ec3107,Hindi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2704b00a-5d70-40ad-997d-212b323fb32d,skill/competence,transversal,understand written Turkish,released,understand Turkish writing | interpret written Turkish | make sense of written Turkish | comprehend written Turkish | read Turkish,Read and comprehend written texts in Turkish.,http://data.europa.eu/esco/skill/aa66a033-8522-40e9-a5c0-ff2593e2669c,Turkish
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/273a28d6-1bd3-4d13-a906-3d75c1cfdfc1,knowledge,transversal,Danish,released,competent in Danish | ability to comprehend spoken and written Danish and to speak and write in Danish,The Danish language. Danish is an official and working language of the EU.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,mastering languages | languages
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2874065e-6ca3-430c-912a-467da3c23704,knowledge,transversal,Kurdish,released,competent in Kurdish | ability to comprehend spoken and written Kurdish and to speak and write in Kurdish,The ​Kurdish language.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,mastering languages | languages
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/29c954f2-ed17-4900-bba5-4cfd294f3680,skill/competence,transversal,interact verbally in Turkish,released,speak Turkish | communicate verbally in Turkish | verbally interact in Turkish,Communicate orally in Turkish.,http://data.europa.eu/esco/skill/aa66a033-8522-40e9-a5c0-ff2593e2669c,Turkish
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2abb9db5-350c-444c-8292-0e0b2ce00f9a,skill/competence,transversal,interact verbally in German,released,speak German | verbally interact in German | communicate verbally in German,Communicate orally in German.,http://data.europa.eu/esco/skill/4812a4ea-dc55-4dc6-b9b0-4a59bba2c647,German
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2ac8e77b-6441-4337-b9a7-ba3d8e270cba,skill/competence,transversal,interact verbally in Kazakh,released,speak Kazakh | verbally interact in Kazakh | communicate verbally in Kazakh,Communicate orally in Kazakh.,http://data.europa.eu/esco/skill/f37dbb3c-dafc-4835-86d1-de9615626f9b,Kazakh
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2adb5796-fe66-4971-a57b-b9936a7cab68,skill/competence,transversal,understand spoken Malay,released,understand Malay speech | listen to Malay | make sense of spoken Malay | interpret spoken Malay | comprehend spoken Malay,Comprehend orally expressed Malay.,http://data.europa.eu/esco/skill/1f90c205-f869-4dcf-a374-c4fdeded9cbc,Malay
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b7b97d3-9d77-45d4-a254-bb6c3047de78,skill/competence,transversal,interact verbally in Persian,released,speak Persian | verbally interact in Persian | speak Farsi | communicate verbally in Persian,Communicate orally in Persian.,http://data.europa.eu/esco/skill/58cabf75-2520-4358-a210-2cbc628f4aa2,Persian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2ba106ed-4b44-45cf-8626-ff9a952b24ce,skill/competence,transversal,understand spoken Telugu,released,comprehend spoken Telugu | make sense of spoken Telugu | interpret spoken Telugu | understand Telugu speech | listen to Telugu,Comprehend orally expressed Telugu.,http://data.europa.eu/esco/skill/64fe09ac-f419-4c04-8997-d1dde2e31bfc,Telugu
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2ce713f2-c684-4fa3-8e56-939e4bfbf4a2,skill/competence,transversal,understand spoken French,released,interpret spoken French | listen to French | understand French speech | make sense of spoken French | comprehend spoken French,Comprehend orally expressed French.,http://data.europa.eu/esco/skill/e747e77e-0ea1-4001-8b07-1d11946b5f1b,French
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2eac15c1-fe9a-4b53-9f4e-b74747d665e5,skill/competence,transversal,understand written Malay,released,read Malay | interpret written Malay | understand Malay writing | comprehend written Malaysian | make sense of written Malay | comprehend written Malay,Read and comprehend written texts in Malay.,http://data.europa.eu/esco/skill/1f90c205-f869-4dcf-a374-c4fdeded9cbc,Malay
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2edc3686-dc8b-498d-a174-a1f91917f86d,skill/competence,transversal,understand written Maltese,released,comprehend written Maltese | read Maltese | understand Maltese writing | make sense of written Maltese | interpret written Maltese,Read and comprehend written texts in Maltese.,http://data.europa.eu/esco/skill/cb50f9cd-3638-409b-8f93-befaf17d313e,Maltese
