conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/35d41f4f-334b-452e-9e31-99f376302493,optoelectronic engineer,released,optoelectronic technology engineering adviser | senior optoelectronic engineer | opto-electronics engineer | opto-electronical engineer | optoelectronic engineering specialist | engineer in optoelectronic systems | opto-electronic engineer | optoelectronic technology engineer | optoelectronic technology engineering specialist | optoelectronic engineering adviser | optoelectronic technology engineering consultant | opto electronics engineer | optoelectronic engineering consultant | optoelectronic systems engineer | opto electronical engineer | specialist in optoelectronic systems | optoelectronic technology engineering expert | optoelectronics engineer | optoelectronic engineering expert | engineer in optoelectronics | specialist in optoelectronics | opto electronic engineer | optoelectronics specialist | optoelectronical engineer,"Optoelectronic engineers design and develop optoelectronic systems and devices, such as UV sensors, photodiodes, and LEDs. Optoelectronic engineering combines optical engineering with electronic engineering in the design of these systems and devices. They conduct research, perform analysis, test the devices, and supervise the research.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,electronics engineer
Occupation,http://data.europa.eu/esco/occupation/3af4d6be-90b5-41f6-be06-3330dab3df73,social work researcher,released,social research worker | social science researcher | social work research manager | social research interviewer | social scientist | communities research worker | social work research officer | social work research assistant,"Social work researchers manage research projects aiming to investigate and provide reports on social issues. They first perform research by gathering information through interviews, focus groups and questionnaires; followed by organising and analysing the gathered information using computer software packages. They analyse social problems and needs, and the different ways and techniques to respond to them.",http://data.europa.eu/esco/occupation/11df8941-508c-4103-ad40-52cdf9430a59,sociologist
Occupation,http://data.europa.eu/esco/occupation/3c305542-a51b-4b96-8d45-af11ca05eaa2,veterinary medicine lecturer,released,veterinary medicine instructor | clinical lecturer in veterinary medicine | veterinary medicine docent | veterinary science instructor | veterinary clinician | veterinary science docent | veterinary science professor | veterinary medicine professor | veterinary science teacher | lecturer of veterinary medicine | lecturer in veterinary medicine | university lecturer in veterinary medicine | teacher of veterinary medicine | university clinical lecturer in veterinary medicine | university veterinary medicine lecturer | instructor in veterinary medicine | veterinary medicine teacher | veterinary science lecturer | lector in veterinary medicine | veterinary medicine lector | professor of veterinary medicine,"Veterinary medicine lecturers are subject professors, teachers, or lecturers, and often doctors who instruct students who have obtained an upper secondary education diploma in their own specialised field of study, veterinary medicine, which is predominantly academic in nature. They work with their university research assistants and university teaching assistants for the preparation of lectures and of exams, for grading papers and exams, for leading laboratory practices, and for leading review and feedback sessions for the students. They also conduct academic research in their respective field of veterinary medicine, publish their findings and liaise with other university colleagues.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,higher education lecturer
Occupation,http://data.europa.eu/esco/occupation/3d7a1284-824c-47d9-8387-b8e1cd5888b5,dentistry lecturer,released,dentistry lector | dentistry teacher | dental sciences lecturer | lecturer in dentistry | clinical lecturer in dentistry | dentistry docent | dentistry instructor | dental science lecturer | dentistry professor | professor of dentistry studies | university lecturer in dentistry | university clinical lecturer in dentistry | dental clinician | professor of dentistry | dental science lector | dental sciences lector | university dentistry lecturer,"Dentistry lecturers are subject professors, teachers, or lecturers, and often doctors who instruct students who have obtained an upper secondary education diploma in their own specialised field of study, dentistry, which is predominantly academic in nature. They work with their university research assistants and university teaching assistants for the preparation of lectures and of exams, for grading papers and exams, for leading laboratory practices, and for leading review and feedback sessions for the students. They also conduct academic research in their respective field of dentistry, publish their findings and liaise with other university colleagues.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,higher education lecturer
Occupation,http://data.europa.eu/esco/occupation/3dbd758c-6dc0-41fe-8248-2250c9bfa4ab,climatologist,released,climatology scientist | climate research scientist | climatology research analyst | climatology scholar | climate scientist | climate researcher | climatology analyst | climate scholar | climatology research scientist | climate research analyst | climatologists | climatology researcher | climate science researcher | climatology science researcher | climate analyst,"Climatologists study the average change in weather and climate from a long-term perspective. They research and analyse historic weather conditions in order to forecast climatic conditions trends such as changes in temperature, global warming, or regional evolutive weather conditions. They use these findings for advising on environmental policy, construction, agricultural projects, and societal matters.",http://data.europa.eu/esco/occupation/1c862e14-80f8-4aa8-8f1c-fd2ca95b63ad,meteorologist
Occupation,http://data.europa.eu/esco/occupation/3f7b7ce5-94b6-4e0c-98e7-a4ee5a6accf4,toxicologist,released,toxicology analyst | toxicology science researcher | toxicologists | toxicology studies scholar | toxicology scholar | toxicology research analyst | toxicology studies scientist | toxicology researcher | toxicology studies research analyst | toxicology studies researcher | toxicology studies research scientist | toxicology studies analyst | toxicology research scientist | toxicology scientist,"Toxicologists study the effects that chemical substances or biological and physical agents have in living organisms, more specifically, on the environment and on the animal and human health. They determine doses of the exposure to substances for arising toxic effects in environments, people, and living organisms, and also perform experiments on animals and cell cultures.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,biologist
Occupation,http://data.europa.eu/esco/occupation/441a5b76-2f51-4704-9df7-3b8e715dd3ad,behavioural scientist,released,behavioural science scholar | behavioural science research analyst | behavioural science analyst | behavioural science researcher,"Behavioural scientists research, observe and describe human behaviour in society. They draw conclusions on the motives that stir actions in humans, observe the various circumstances for different behaviours, and describe different personalities. They advise organisations and governmental institutions on this field. They may also analyse the behaviour of animals.",http://data.europa.eu/esco/isco/C2632,"Sociologists, anthropologists and related professionals"
Occupation,http://data.europa.eu/esco/occupation/479ede81-bd51-4f3b-9d30-4910699fd211,journalism lecturer,released,journalism professor | journalism lector | journalism teacher | journalism and media docent | media studies instructor | journalism and media lecturer | specialist lecturer in journalism | journalism docent | professor of media studies | instructor in journalism | journalism and media instructor | journalism and media professor | higher education journalism teacher | journalism instructor | professor of journalism | lecturer of journalism | lecturer in journalism and media studies | journalism and media teacher | university lecturer in journalism | university journalism lecturer | lecturer in journalism | media studies professor | lecturer in journalism and media | media studies teacher | media studies lecturer | media studies docent,"Journalism lecturers and media are subject professors, teachers, or lecturers who instruct students who have obtained an upper secondary education diploma in their own specialised field of study, journalism and media, which is predominantly academic in nature. They work with their university research assistants and university teaching assistants for the preparation of lectures and of exams, for grading papers and exams and for leading review and feedback sessions for the students. They also conduct academic research in their respective field of journalism and media, publish their findings and liaise with other university colleagues.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,higher education lecturer
Occupation,http://data.europa.eu/esco/occupation/49023c69-302f-4671-b26f-7229d1a53915,communications lecturer,released,university communications teacher | lecturer in communication and media | lecturer in communications | communications professor | professor of communication | university communications lecturer | professor of communications | university lecturer in communications | communications teacher | higher education communications teacher | communications docent | lecturer of communications | communications instructor | communications lector | communication and media lecturer,"Communications lecturers are subject professors, teachers, or lecturers who instruct students who have obtained an upper secondary education diploma in their own specialised field of study, communications, which is predominantly academic in nature. They work with their university research assistants and university teaching assistants for the preparation of lectures and of exams, grading papers and exams and leading review and feedback sessions for the students. They also conduct academic research in their field of communications, publish their findings and liaise with other university colleagues.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,higher education lecturer
Occupation,http://data.europa.eu/esco/occupation/4b759f0e-8fec-4cf5-80d4-d112a9fd4e51,oceanographer,released,marine geologist | marine physicist | oceanography scientist | oceanography science researcher | oceanographers | oceanography research scientist | marine chemist | oceanography analyst | oceanography research analyst | marine research scientist | oceanography researcher,"Oceanographers study and perform research on matters related to the sea and oceans. Oceanographers divide their expertise in different branches of research which are physical oceanographers whose research focus on waves and tides, chemical oceanographers whose study address the chemical constitution of sea waters, and geological oceanographer whose research refers to the bottom of seas and their plaques.",http://data.europa.eu/esco/occupation/c6196b21-20f9-4608-83fb-6f143afc740d,geologist
Occupation,http://data.europa.eu/esco/occupation/4e8a5d3e-66de-4661-9927-ef3123cc79e9,architecture lecturer,released,lecturer of architecture | professor of architecture | architecture professor | university lecturer in architectural studies | architecture instructor | professor of architectural studies | university architectural studies lecturer | architecture docent | lecturer in architectural studies | architecture teacher | architecture lector | instructor in architecture | university architecture lecturer | university lecturer in architecture | lecturer in architecture,"Architecture lecturers are subject professors, teachers, or lecturers who instruct students who have obtained an upper secondary education diploma in their own specialised field of study, architecture, which is predominantly academic in nature. They work with their university research assistants and university teaching assistants for the preparation of lectures and of exams, for grading papers and exams and for leading review and feedback sessions for the students. They also conduct academic research in their respective field of architecture, publish their findings and liaise with other university colleagues.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,higher education lecturer
Occupation,http://data.europa.eu/esco/occupation/4f4d33a1-0b41-4dd9-8a42-aeba5a3974ab,sensor engineer,released,sensor technology engineering specialist | electronic sensor engineer | sensor engineering expert | sensor design engineer | sensors engineer | sensor designer | sensor technology engineer | sensor engineering specialist | engineer in sensor technology | sensor engineering consultant | sensor technology engineering expert | sensor systems engineer | engineer of sensors | sensor and actuator engineer | sensor engineers | sensor engineering adviser | sensor developer | sensor development engineer | actuator and sensor engineer | specialist sensor engineer | electronics sensor engineer | sensor technology engineering adviser | engineer of sensors and actuators | sensor technology engineering consultant | engineer specialised in sensor technology,"Sensor engineers design and develop sensors, sensor systems and products that are equipped with sensors. They plan and monitor the manufacture of these products.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,electronics engineer
Occupation,http://data.europa.eu/esco/occupation/4f89b0d2-b666-4890-af01-25d1d60da1f3,political scientist,released,war researcher | peace researcher | public administration researcher | political analyst | political scholar | political researcher | political studies research scientist | politics scienctist | political studies scientist | political studies scholar | pundit | peace and conflict researcher | political research scientist | political science researcher | political studies researcher,"Political scientists study political behaviour, activity and systems, including the elements that fall therein. Their study of the field ranges from the origins and evolution of various political systems to topical matters such as decision-making processes, political behaviour, political trends, society, and power perspectives. They advise governments and institutional organisations on governance matters.",http://data.europa.eu/esco/isco/C2633,"Philosophers, historians and political scientists"
Occupation,http://data.europa.eu/esco/occupation/52ded7d7-11df-42e3-b90a-d7f4b70fb4b9,psychologist,released,psychology researcher | occupational psychologist | practitioner of counselling psychology | expert in counselling psychology | expert counselling psychologist | specialist counselling psychologist | practitioner of occupational psychology | practitioner of sport and exercise psychology | sport and exercise psychologist | counselling psychology practitioner,"Psychologists study the behaviour and mental processes in humans. They provide services to clients who deal with mental health issues and life issues such as bereavement, relationship difficulties, domestic violence, and sexual abuse. They also provide counselling for mental health issues such as eating disorders, post-traumatic stress disorders, and psychosis in order to help the clients rehabilitate and reach a healthy behaviour.",http://data.europa.eu/esco/isco/C2634,Psychologists
Occupation,http://data.europa.eu/esco/occupation/55167849-82cf-484e-b818-fa702a4e69e9,hydrologist,released,hydrological engineer | surface hydrologist | hydrology research analyst | hydrology researcher | hydrology scientist | hydrology analyst | hydrology science researcher | hydrobiologist | hydrologists | water analysis specialist | hydrology research scientist,"Hydrologists research and study the quality, current challenges, and distribution of water in the Earth. They study water supply from rivers, streams, and springs to determine their adequate and sustainable use. Together with a cross functional team of professionals, they plan and develop how water can be supplied to cities and urban areas while ensuring efficiency and resource conservation.",http://data.europa.eu/esco/occupation/c6196b21-20f9-4608-83fb-6f143afc740d,geologist
Occupation,http://data.europa.eu/esco/occupation/557f9ccc-4e46-4bb2-8d20-272cd978b152,veterinary scientist,released,animal models researcher | researcher in veterinary science | veterinary researcher | animal models scientist | scientist in veterinary research,"Veterinary scientist develop and do research in animal models, compare basic biology across animals, and translate research findings to different species, including humans.",http://data.europa.eu/esco/isco/C2250,Veterinarians
